epoch,train_loss,val_loss
1,0.6207319411539263,0.3485998846590519
2,0.3946606800440819,0.2957443371415138
3,0.34008208542100843,0.28449834510684013
4,0.3049161636060284,0.28059444203972816
5,0.28363952569423184,0.2889782711863518
6,0.27286190467496074,0.26634187810122967
7,0.2693834694162492,0.26946491189301014
8,0.24347407418874004,0.278156828135252
9,0.23047085490918928,0.2626135591417551
10,0.21829745654136903,0.2658650502562523
11,0.207268881701654,0.25505533814430237
12,0.19947372424987056,0.25869024358689785
13,0.1947059395813173,0.2636549510061741
14,0.18497282795367703,0.25836861319839954
15,0.1800489507375225,0.2612767908722162
16,0.17564186309614488,0.25859625823795795
17,0.17086611736205318,0.258248433470726
18,0.16811693579919876,0.2506672255694866
19,0.16631349007929525,0.2495588529855013
20,0.1584543215651666,0.2534495033323765
21,0.15973469422709557,0.2461730819195509
22,0.15166596876036736,0.24863866344094276
23,0.14895096373173497,0.2531047407537699
24,0.14453525264416972,0.2520881835371256
25,0.14234012629716628,0.2464311420917511
26,0.1415871391373296,0.24384313635528088
27,0.1375198027779979,0.24691279605031013
28,0.13705057795009307,0.2483247946947813
29,0.1339566383150316,0.23846080712974072
30,0.131707348169819,0.2484599258750677
31,0.13042336750415065,0.24789966084063053
32,0.1317540981596516,0.24999555200338364
33,0.12912804393037672,0.24551375396549702
34,0.1241168117811603,0.24468789249658585
35,0.12272815622629658,0.2424751203507185
36,0.12133734601159249,0.24543271400034428
37,0.11883482913817128,0.2435966171324253
