Date,portfolio_nav,portfolio_return,turnover,action,cluster
2023-02-14,10000.0,0.0,0.0,recession,3
2023-02-15,9960.745552112903,-0.003925444788709719,1.0,rebound,0
2023-02-16,9850.361967754914,-0.01108185966406635,1.2,rebound,2
2023-02-17,9859.26148886357,0.0009034714803160648,0.0,rebound,0
2023-02-21,9714.672575611105,-0.01466528841087994,0.0,rebound,3
2023-02-22,9714.851561653102,1.8424300006425476e-05,0.0,rebound,0
2023-02-23,9758.647058019515,0.004508097327939108,0.0,rebound,2
2023-02-24,9667.108042816646,-0.009380297766547696,0.0,rebound,2
2023-02-27,9696.511544989118,0.0030416027256797928,0.0,rebound,3
2023-02-28,9696.238117700495,-2.8198521432509912e-05,0.0,rebound,2
2023-03-01,9668.000809857438,-0.002912192079061093,0.0,rebound,1
2023-03-02,9687.318913071796,0.0019981486963325467,0.0,rebound,0
2023-03-03,9832.712745010282,0.015008676109784557,0.0,rebound,3
2023-03-06,9810.952536514937,-0.0022130422254416082,0.0,rebound,3
2023-03-07,9713.490938976793,-0.00993395872372289,0.0,rebound,3
2023-03-08,9722.405771157855,0.0009177784008929102,0.0,rebound,1
2023-03-09,9656.643860372125,-0.006763954553390105,0.0,rebound,1
2023-03-10,9695.222901818355,0.0039950775863803675,0.0,rebound,3
2023-03-13,9737.218277856891,0.004331553432429025,0.0,rebound,1
2023-03-14,9774.399479530759,0.003818462379386167,0.0,rebound,1
2023-03-15,9796.839300993566,0.0022957749486095078,0.0,rebound,3
2023-03-16,9871.412466788459,0.007611961725995587,0.0,rebound,1
2023-03-17,9900.825057557828,0.00297957266686234,0.0,rebound,3
2023-03-20,9931.759979032428,0.0031244791514609235,0.0,rebound,2
2023-03-21,9942.405636736885,0.0010718802837494713,0.0,rebound,3
2023-03-22,9918.022258432466,-0.0024524626328183206,0.0,rebound,1
2023-03-23,9956.298936268464,0.0038593054984783493,0.0,rebound,3
2023-03-24,9974.980605348415,0.0018763668306400303,0.0,rebound,2
2023-03-27,9918.975822330365,-0.005614525504743528,0.0,rebound,1
2023-03-28,9927.700877888721,0.0008796327075134224,0.0,rebound,0
2023-03-29,9986.01167178716,0.005873544601682146,0.0,rebound,2
2023-03-30,10042.490980886527,0.0056558424880408294,0.0,rebound,3
2023-03-31,10132.883435178159,0.009000999300240786,0.0,rebound,1
2023-04-03,10176.320485690138,0.004286741359441626,0.0,rebound,2
2023-04-04,10196.147987421387,0.00194839596091062,0.0,rebound,1
2023-04-05,10202.492429321313,0.0006222390953673381,0.0,rebound,3
2023-04-06,10213.112673757605,0.0010409460737034859,0.0,rebound,2
2023-04-10,10170.302454041026,-0.004191691708892996,0.0,rebound,1
2023-04-11,10188.715415689932,0.001810463526735062,0.0,rebound,3
2023-04-12,10175.810397401758,-0.001266599150301273,0.0,rebound,2
2023-04-13,10254.905401195396,0.00777284567073242,0.0,rebound,3
2023-04-14,10187.297525517351,-0.006592735187022202,0.0,rebound,2
2023-04-17,10172.263457135074,-0.0014757661042705146,0.0,rebound,3
2023-04-18,10190.725307833736,0.0018149206198266208,0.0,rebound,2
2023-04-19,10178.169068358648,-0.0012321242203866321,0.0,rebound,2
2023-04-20,10175.818163900321,-0.0002309751825241293,0.0,rebound,2
2023-04-21,10148.210004982404,-0.0027131144123486717,0.0,rebound,0
2023-04-24,10179.30898528025,0.0030644793793760173,0.0,rebound,3
2023-04-25,10138.807515978782,-0.003978803409940068,0.0,rebound,0
2023-04-26,10084.697252337204,-0.005336945548704797,0.0,rebound,3
2023-04-27,10165.17677527758,0.007980360830536881,0.0,rebound,3
2023-04-28,10241.901282402236,0.007547778933983329,0.0,rebound,3
2023-05-01,10168.468027452716,-0.007169885055980051,0.0,rebound,3
2023-05-02,10201.247382781297,0.0032236277126587607,0.0,rebound,1
2023-05-03,10194.923663152176,-0.0006198967039848901,0.0,rebound,2
2023-05-04,10153.015987049519,-0.004110641480732658,0.0,rebound,1
2023-05-05,10208.468475058262,0.0054616764200386535,0.0,rebound,0
2023-05-08,10183.720237301286,-0.0024242850744400353,0.0,rebound,2
2023-05-09,10168.53642643407,-0.0014909886086227897,0.0,rebound,1
2023-05-10,10209.122019104374,0.003991291466960644,0.0,rebound,2
2023-05-11,10204.280318499146,-0.0004742523986066005,0.0,rebound,3
2023-05-12,10177.025222698943,-0.002670947381834721,0.0,rebound,1
2023-05-15,10177.858420786024,8.187049445678178e-05,0.0,rebound,3
2023-05-16,10112.292224638903,-0.006442042464770136,0.0,rebound,1
2023-05-17,10160.76938452763,0.004793884394540337,0.0,rebound,1
2023-05-18,10168.290739739625,0.0007402348116913428,0.0,rebound,2
2023-05-19,10166.642462964935,-0.00016209968979814544,0.0,rebound,1
2023-05-22,10156.706889752786,-0.0009772718228601817,0.0,rebound,0
2023-05-23,10107.998476156605,-0.004795689599482744,0.0,rebound,3
2023-05-24,10045.067115894823,-0.0062258972842375694,0.0,rebound,1
2023-05-25,10064.242651080367,0.0019089504295299875,0.0,rebound,2
2023-05-26,10153.713034786724,0.008889927122012843,0.0,rebound,3
2023-05-30,10188.508621778577,0.003426883039991679,0.0,rebound,1
2023-05-31,10181.156795125517,-0.0007215802553620532,0.0,rebound,1
2023-06-01,10253.594262530876,0.0071148562843115215,0.0,rebound,3
2023-06-02,10275.017561518382,0.002089345300680679,0.0,rebound,2
2023-06-05,10273.71707248387,-0.00012656805954102128,0.0,rebound,3
2023-06-06,10299.26955616807,0.0024871702718615605,0.0,rebound,0
2023-06-07,10226.14740971037,-0.00709974101162446,0.0,rebound,2
