Date,state_index,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,0,aggressive,-0.0067674965867393294,0.0010000000000000002,1.0000000000000002,99323.25034132606
2015-04-01,1,aggressive,0.0018581824667466612,0.0,0.0,99507.8110636506
2015-04-02,2,aggressive,0.00012258038565245957,0.0,0.0,99520.00876950622
2015-04-06,3,aggressive,0.004819546153709875,0.0,0.0,99999.65004498848
2015-04-07,4,aggressive,-0.0006727600719404591,0.0,0.0,99932.37427323019
2015-04-08,5,aggressive,0.0018739279313762626,0.0,0.0,100119.64034062953
2015-04-09,6,aggressive,-0.00018925376325483784,0.0,0.0,100100.69232191934
2015-04-10,7,aggressive,0.005247026342361716,0.0,0.0,100625.92329142109
2015-04-13,8,aggressive,-0.003603782237335918,0.0,0.0,100263.28937644792
2015-04-14,9,aggressive,0.002148551989765646,0.0,0.0,100478.71026633815
2015-04-15,10,aggressive,0.0038378088534452015,0.0,0.0,100864.32835018104
2015-04-16,11,aggressive,-0.001541458334354518,0.0,0.0,100708.85019060658
2015-04-17,12,aggressive,-0.005264023332873291,0.0,0.0,100178.71645337637
2015-04-20,13,aggressive,0.003869909264432869,0.0,0.0,100566.39899627831
2015-04-21,14,aggressive,-0.001164315142833572,0.0,0.0,100449.30801506671
2015-04-22,15,aggressive,-0.0009570132919052624,0.0,0.0,100353.17669213361
2015-04-23,16,aggressive,0.0033520421421105342,0.0,0.0,100689.5647695003
2015-04-24,17,aggressive,0.0014675330640697704,0.0,0.0,100837.33003500632
2015-04-27,18,aggressive,-0.0008938141043898562,0.0,0.0,100747.20020717203
2015-04-28,19,aggressive,0.0003342227419809384,0.0,0.0,100780.87221267218
2015-04-29,20,aggressive,-0.00603619862043815,0.0,0.0,100172.53885085549
2015-04-30,21,aggressive,-0.008430577711097365,0.0,0.0,99328.02647755542
2015-05-01,22,aggressive,0.004553176950049098,0.0,0.0,99780.2845582069
2015-05-04,23,aggressive,0.0010081073845400466,0.0,0.0,99880.87379990154
2015-05-05,24,aggressive,-0.008012594892074433,0.0,0.0,99080.56882067652
2015-05-06,25,aggressive,-0.006358442407020882,0.0,0.0,98450.57073017539
2015-05-07,26,aggressive,0.004658109726453331,0.0,0.0,98909.16429126849
2015-05-08,27,aggressive,0.010241430318494562,0.0,0.0,99922.13560521805
2015-05-11,28,aggressive,-0.008591771481480616,0.0,0.0,99063.62745015649
2015-05-12,29,aggressive,-0.00072090360261835,0.0,0.0,98992.21212423923
2015-05-13,30,aggressive,0.0003216231780093006,0.0,0.0,99024.05031410078
2015-05-14,31,aggressive,0.008378218945390436,0.0,0.0,99853.69548849169
2015-05-15,32,aggressive,0.00506760571163858,0.0,0.0,100359.71464607738
2015-05-18,33,aggressive,-0.001189649591043241,0.0,0.0,100240.32175259145
