epoch,train_loss,val_loss
1,0.7998876725473711,0.7777380148569742
2,0.6708313630473229,0.7463404370678796
3,0.6547833181196644,0.7367676860756345
4,0.640577438377565,0.7392266790072123
5,0.6293961694163661,0.7390332851145003
6,0.616674873136705,0.7412555880016751
7,0.6109695540320489,0.7416612439685397
8,0.6082214338164176,0.7405100233025022
9,0.6014233548795024,0.7375761336750455
10,0.5853862675928301,0.7390374077690972
11,0.5727593485386141,0.7350436084800296
12,0.5649466956815412,0.7412443624602424
13,0.5618202734378076,0.7393955522113376
14,0.5505902449930867,0.741415282090505
15,0.5476217106465371,0.7482117447588179
16,0.5331302669740492,0.7392469743887583
17,0.5420529025216256,0.7578256395128038
18,0.5308492693208879,0.7405230535401238
19,0.5184274556175354,0.7426513168546889
