state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,-0.00371749896786064,0.003598941830158847,-0.003546308313142197,-0.0039822931821117315
2,-0.004495230619682545,-0.0023008086607756374,0.0019330211838096078,-0.00810206204017555
3,-0.00029359409002669085,-0.0008095956035402804,0.0065372120451331435,-0.004242224939410223
4,-0.003028446103483007,0.002455542432741312,-0.0008932997092659161,-0.0004633511308300176
5,0.0,0.0,0.0,0.0
6,-0.010870247315003991,-0.010920675094034875,-0.010087426828890715,-0.010901980983266982
7,-0.009711751737903477,-0.010826242337632398,-0.011927683549237726,-0.005128168106403112
8,-0.010943123244132422,-0.007542153756889367,-0.012353657701370502,-0.010727640418667679
9,-0.009277569075648688,-0.010911926719816395,-0.009138154393020103,-0.0005452233836877782
10,0.012117487342278079,0.00469227955545054,0.004298670289243596,0.002391442057785841
11,0.0009446813337871244,0.003321576920967507,-0.0011206324299983211,-0.00172913815834849
12,-0.0014138587768826169,-0.0001791582652935204,0.0017033368720122304,-0.003103221734583074
13,0.0012183782787237815,-0.0015943453487520113,-0.0014243157585942835,0.00018983561636325326
14,-0.0017564545482238532,0.001133748481355829,-0.0016144378058216753,-0.002369252874737811
15,0.0,0.0,0.0,0.0
16,0.0029530490533925305,0.0030697122581871037,0.009556858570698204,0.0028291216129202167
17,0.0053581129669066484,0.0033968818886552592,0.004041551847200669,0.003393044076897756
18,0.005200005916313432,0.004573205792841857,0.01075740192072646,0.0058869577008382416
19,0.005105901741439513,0.0034891275491631913,0.0035793882858800035,0.0036296139417304717
