state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0007689067893077606,-0.000558175600783238,-0.0006464903060171445
1,0.0013421957677832031,0.0020969925352923354,0.00035485798313496936,0.000998630924006478
2,0.0013344193718497622,0.0006041219004518236,0.004178531436318104,0.0009963555259685525
3,0.0005531289561447089,0.0006643678304534416,0.0030882127639971285,0.0008027304086138481
4,0.000989856279767862,4.8991017466956286e-05,0.003601635484050536,-0.0034725799377729304
5,0.0,0.0,0.0,0.0
6,-0.013259246111905022,-0.012632263716185992,-0.015195624129744153,-0.010642364627568663
7,-0.01401487394134574,-0.016390552684128566,-0.016004414240490598,-0.01766388166596285
8,-0.016921289073766582,-0.016011854817624935,-0.0159493009029251,-0.010389086025322347
9,-0.011977316429950435,-0.014940820960023454,-0.012753528743766639,-0.007766546556831569
10,0.0,0.0,0.0,0.0
11,0.0048377990840241785,0.006235613171756724,0.005788256021989448,0.005001589255594115
12,0.005867440556178855,0.004878977936621677,0.006154286805143248,0.005913321631312427
13,0.001549636741709159,0.005825087098204251,0.005844166135069107,0.005775130151556403
14,0.0062522077494886995,0.005546314370022721,0.006732553320476861,0.0037990194084412837
15,0.0,0.0,0.0,0.0
16,0.009810979257266636,0.016044564996109966,0.009395447064047734,0.00895442641226749
17,0.010140033196852626,0.011618233052562462,0.009274304133267238,0.006878664715716409
18,0.01070444424355726,0.009650091540014172,0.010517737806398178,0.020634222238037535
19,0.011936995071129037,0.011466127036835966,0.014151220795728366,0.008792908458094382
