state_id,defensive,cautious,rebound,aggressive
0,0.0120974593781029,0.0026469434853612275,0.002333483659646368,0.0
1,0.0038252739531433313,0.003805919334431349,0.0070201186853098944,0.0031640948517838853
2,0.002595197305471497,0.00419568917446117,0.002922447257321872,0.0025190221751961485
3,0.0026985212666218593,0.003534107911612267,0.004838682290992822,0.010452868807769647
4,0.0029735383370972476,0.0023935820090172765,0.00535020208822522,0.009102171849961743
5,0.0,0.0,0.0,0.0
6,0.0022290149434445873,0.0032365697054902737,0.024850180944904363,0.0052082952391720345
7,0.0014803628244241605,0.004720246852520998,0.0023485414819385533,0.02662104720892409
8,0.016641564132797767,0.013860959659881286,0.023252456269660098,0.0290805375148887
9,0.01849233349898475,0.01990367804782631,0.02832330802822871,0.01791253046511615
10,0.0,0.0,0.0,0.0
11,0.0025289510765421404,0.0045820899647874055,0.00111623416923262,0.0019629223298507905
12,0.0037837524441048254,0.0035899856082374634,0.008761457933438273,0.0033830569915125593
13,-0.0002393031326877467,0.004435627784600476,0.007699478301868509,0.00870854201175124
14,0.003132597300490171,0.004234981350226644,0.005131831160070254,0.0076491033050922995
15,0.0,0.0,0.0,0.0
16,0.008249671912663806,0.007015202618490656,0.011791299837216971,0.010642829382090015
17,0.007732990620206058,0.013300211515536838,0.005541355446993931,0.004020278874390335
18,0.009458806442778325,0.00942061513925073,0.009257779721611443,0.007951560818512041
19,0.009953239412871361,0.008289271749579104,0.010998357571482757,0.004005986664172094
