state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,-0.0009847440367111175,-0.00012574427474249797,-0.0001697969907770802,-0.0008415924691195133
4,0.0011052503005850112,-0.0010047393201257965,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0018545318338294356,0.001372005475251663,0.0020559481886380016,0.006030129129969974
7,0.010574468715204186,-0.0004941165241441292,0.0006528887040962409,-0.0013912725883024842
8,0.0037745828188507093,0.008230387776284598,0.0,0.00608661469020194
9,0.003696798121158899,0.0009589120203791369,-0.0007371922172600427,-5.708655819741688e-05
10,0.0,0.00414807992582193,0.0004585849988881597,0.0
11,0.007223274017527648,0.007008229053110561,0.008369476785554091,0.0067299704340503756
12,0.006556915249861596,0.004247693369296671,0.005295566453996548,0.006524948850031702
13,0.00602824170828015,0.006416266465972766,0.014744497202200457,0.007063306959884332
14,0.008816477384115149,0.003958806658115681,0.005464669225128912,0.0032995247459823547
15,0.0,0.0,0.0,0.0
16,0.007359630903666988,0.006218836530965671,0.003969997205177591,0.00582628224599615
17,0.007237643535659721,0.006922370909613986,0.007211493451363695,0.006501083989884304
18,0.005557694124627618,0.005528533048709896,0.006923400051719944,0.005780483122096004
19,0.003998664450196034,0.005266700044925813,0.009670032059806669,0.00642213558379154
