epoch,train_loss,val_loss
1,0.9465239874778255,0.9401698377397325
2,0.7442473442323746,0.8056642744276259
3,0.7094345573456057,0.7822504772080315
4,0.6804536850221695,0.7576008041699728
5,0.6673807626770388,0.7529643111758761
6,0.6250333632192304,0.7444120115704007
7,0.6117728977434097,0.7429726653628879
8,0.6094082247826361,0.733534594376882
9,0.5915736344552809,0.73307204246521
10,0.5785249731233043,0.7323245406150818
11,0.5712345636660053,0.7320292194684347
12,0.5630160772031353,0.726775586605072
13,0.5530301197882621,0.7317476206355624
14,0.5339223079143032,0.7218468387921652
15,0.5263721356468816,0.7222960789998373
16,0.5226194195209011,0.729728466934628
17,0.5125075703667056,0.7251896791987948
18,0.5038911209952447,0.7193772991498312
19,0.5023738155441899,0.7216864890522428
20,0.4968092816491281,0.7190639111730788
21,0.4957970082759857,0.7182318303320143
22,0.4829903696813891,0.7219436764717102
23,0.48568379782861276,0.7255025704701742
24,0.4819627211939904,0.7139067980978224
25,0.4790687330307499,0.7155250377125211
26,0.47932719319097455,0.7191857364442613
27,0.46722247139100104,0.7145434220631918
28,0.473557791402263,0.7147815161281161
29,0.4667218606318197,0.7151124212476943
30,0.46300623686082903,0.7222299840715196
31,0.45911933145215433,0.7112962868478563
32,0.45380056000524954,0.7182890110545688
33,0.4528716379596341,0.7183471322059631
34,0.44630506923121793,0.7198275725046793
35,0.45477101302916006,0.7228413224220276
36,0.4478774503354103,0.7193183369106717
37,0.4476551182808415,0.7196303539805942
38,0.44888124542851604,0.7170911232630411
39,0.43679350902957303,0.7145783305168152
