state_id,cash,defensive,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,0.0,0.0,-0.0009914204388971092,-0.0012070234996731848
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,9.492268315896485e-05,0.0006253601105383872,0.0,0.0
7,0.0,0.0003518652128756315,-1.0357335153781582e-05,0.0
8,-0.0001583909084224304,-0.0008924461748773242,0.0028039355848332188,-0.0030034172670490365
9,-0.0002979457772041862,-0.0008797008558551101,-0.0003658946555556932,-0.0002597251292580061
10,0.0,0.0,0.0002595764317258671,0.0
11,0.0002775871832623142,-0.00026082815950456066,-0.0023735680072417553,0.00021882375662762724
12,-0.0010022448964853237,-0.001417730976092226,-0.0022070572105109113,-0.007012587844347907
13,-0.0009363771142282076,-8.672505928866882e-05,0.0007402761944344932,0.0018553649085119835
14,-0.0014922013768076255,-0.0010903116998661555,0.0012867736087980352,-0.0020396919425656563
15,0.0,0.0,0.0,0.0
16,0.00031548007620833926,-0.0012168095103954155,-0.0035984870159653185,-0.0008283120290904246
17,-0.0007932695336880191,-0.0007619923723718141,-2.555170765972906e-05,-0.004113633655181543
18,-0.0011860335925390048,-0.0014769059166827418,-0.001698619459237766,0.00014733235586847078
19,-0.001420225117149708,-0.0015494387079736348,-0.002356432263147577,-0.001553012202466131
