cluster,n_windows,dominant_hmm_regime,avg_SPY_ret,avg_VIX_level,avg_curve_slope_10y2y
0,1104,recovery,0.00015057056932843267,18.93570654981884,0.5001177536231884
1,551,transition,0.00010348290864116973,20.982849406533575,0.5568239564428312
2,661,recovery,0.0012755460474281994,15.33414523600605,0.3360968229954614
3,341,recovery,0.0012346829872062948,17.06853373313783,0.6630205278592376
