mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->aggressive; 2->defensive; 3->cautious,-0.012514812599423037,1924,0.009636226611226612,0.06871080004763375,0.008741819917832183,0.07146784550618547,-0.012514812599423037,-0.21534190816398813,0.040595070380703945,1.0687108000476337,0.13290020790020796,255.70000000000013
0->cash; 1->cautious; 2->rebound; 3->aggressive,-0.024973238931489193,1924,0.009636226611226612,0.05598837553110747,0.007160781025964846,0.09912392990163696,-0.024973238931489193,-0.23507401990353582,0.03046181381040457,1.0559883755311075,0.23986486486486486,461.5
0->defensive; 1->cautious; 2->rebound; 3->aggressive,-0.03041137998532274,1924,0.009636226611226612,0.05166553116878725,0.006619804372449689,0.09918728581973987,-0.03041137998532274,-0.23507401990353693,0.028160510358252854,1.0516655311687872,0.2383056133056133,458.5
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.031600494574973576,1924,0.009636226611226612,0.05769865600468482,0.007374280618836826,0.0715794490818243,-0.031600494574973576,-0.21534190816398646,0.03424452156902589,1.0576986560046848,0.13134095634095638,252.7000000000001
0->cash; 1->rebound; 2->defensive; 3->cautious,-0.03974049157958932,1924,0.009636226611226612,0.05433657317173601,0.006954295987218195,0.06748609585357657,-0.03974049157958932,-0.21598554459019936,0.032197969546586755,1.054336573171736,0.12479209979209986,240.10000000000014
0->cash; 1->aggressive; 2->cautious; 3->defensive,-0.04213833339321356,1924,0.009636226611226612,0.05168246995405745,0.006621927922624282,0.07153341021996346,-0.04213833339321356,-0.22914327519855116,0.028898635218015563,1.0516824699540575,0.13445945945945953,258.70000000000016
0->cash; 1->defensive; 2->rebound; 3->aggressive,-0.05699836205415946,1924,0.009636226611226612,0.030981971386172757,0.004004333334799659,0.09880798453603923,-0.05699836205415946,-0.24293637339634266,0.016483053891097325,1.0309819713861728,0.24391891891891893,469.3
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.0611194789676868,1924,0.009636226611226612,0.040849870115596376,0.005257778894729448,0.07163751704774843,-0.0611194789676868,-0.22914327519854938,0.022945377254356067,1.0408498701155964,0.13290020790020798,255.70000000000016
0->cautious; 1->defensive; 2->rebound; 3->aggressive,-0.06405510218295075,1924,0.009636226611226612,0.025498185529222006,0.003303255276667194,0.0988675549446713,-0.06405510218295075,-0.24293637339634222,0.013597203376696697,1.025498185529222,0.24194386694386694,465.5
0->aggressive; 1->rebound; 2->defensive; 3->cautious,-0.0690482730298799,1924,0.009636226611226612,0.038534846814850976,0.004964648885035006,0.06765669177808446,-0.0690482730298799,-0.21598554459019859,0.022986023876990058,1.038534846814851,0.12406444906444915,238.70000000000016
0->cash; 1->cautious; 2->aggressive; 3->rebound,-0.0692297617609473,1924,0.009636226611226612,0.018855068647070317,0.002449584640770386,0.10380856134204164,-0.0692297617609473,-0.26548195505480765,0.00922693461506519,1.0188550686470703,0.23674636174636174,455.5
