state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0085094086895431,0.0049883224671142,0.0054489930505238,0.0032342676161905
7,0.0055052566882861,0.0052385693407949,0.0066372411182099,0.0045994317017168
8,0.0063258463413818,0.0032567679409781,0.0030151064644753,0.0038697933642513
9,0.0037961165328167,0.0019721867579983,0.0058453467572096,0.0023225791318288
10,0.0,0.0,0.0014649123866611,0.0
11,0.007908933643079,0.0061248629900416,0.0048204399361998,0.0042060817389187
12,0.0015615063068563,0.0043284719049021,0.0011416705052607,0.0044506858115643
13,0.005987597707089,0.0058698929384608,0.0049823804336317,0.0081149693947897
14,0.0075764758395164,0.0026672694848932,0.0058677118634191,0.0018736231365279
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
