epoch,train_loss,val_loss
1,0.7600481298662001,0.7703191861510277
2,0.6647370409580969,0.7358240596950054
3,0.6534087542564638,0.7260652780532837
4,0.628796596680918,0.7393063455820084
5,0.6037900342095283,0.7253339290618896
6,0.5705695546442463,0.7297137454152107
7,0.5703296959400177,0.7326350510120392
8,0.523767598213688,0.7300147525966167
9,0.5015133513558295,0.7434138059616089
10,0.4848881556141761,0.728272058069706
11,0.46484057268788737,0.731309350579977
12,0.4469482687211806,0.7352569326758385
13,0.44066873481196744,0.7330931127071381
