state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.008509408689543158,0.004988322467114219,0.00544899305052383,0.0032342676161905603
7,0.005505256688286118,0.005238569340794995,0.006637241118209957,0.00459943170171685
8,0.006325846341381881,0.0032567679409781876,0.0030151064644753753,0.0038697933642513928
9,0.003796116532816707,0.0019721867579983094,0.005845346757209684,0.002322579131828835
10,0.0,0.0,0.0014649123866611925,0.0
11,0.007908933643079045,0.006124862990041608,0.004820439936199851,0.004206081738918761
12,0.0015615063068563685,0.004328471904902189,0.0011416705052607738,0.004450685811564394
13,0.005987597707089053,0.005869892938460884,0.00498238043363175,0.008114969394789793
14,0.007576475839516417,0.002667269484893206,0.0058677118634191915,0.0018736231365279249
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
