mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.5478674521658192,1924,0.009636226611226612,0.5923414240197442,0.06282587981946897,0.09708489343174892,0.5478674521658192,-0.27855109115994725,0.22554526553045748,159234.14240197442,0.033471933471933474,64.4
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.5421677986391947,1924,0.009636226611226612,0.5953402552033307,0.06308782975956562,0.09858867177744417,0.5421677986391947,-0.2595454345767134,0.2430704661110841,159534.02552033306,0.03835758835758835,73.8
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.5253265318790364,1924,0.009636226611226612,0.578497947724576,0.061611056980677814,0.09893814078558498,0.5253265318790364,-0.21887860206349796,0.28148506249507244,157849.7947724576,0.05031185031185031,96.8
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.5125603532829568,1924,0.009636226611226612,0.5695504334464561,0.06082093997610172,0.09986085157979202,0.5125603532829568,-0.2111669390482528,0.2880230222127897,156955.04334464562,0.029313929313929316,56.400000000000006
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.5076977450807496,1924,0.009636226611226612,0.547318976197803,0.05884069656961932,0.09691685739231856,0.5076977450807496,-0.29424438170089484,0.19997220075872862,154731.8976197803,0.023700623700623702,45.6
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.5060952038130719,1924,0.009636226611226612,0.5630649284855465,0.06024578201469333,0.1000000692007339,0.5060952038130719,-0.22376975102353713,0.2692311259190542,156306.49284855466,0.04958419958419959,95.4
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.5026337229983018,1924,0.009636226611226612,0.5502436892350602,0.05910261924151228,0.09841439276141208,0.5026337229983018,-0.2756505163465096,0.21441142220541556,155024.36892350603,0.028586278586278588,55.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.49932246800202085,1924,0.009636226611226612,0.5670935083476094,0.06060329443170698,0.10207245034340032,0.49932246800202085,-0.23923924925263607,0.2533166887165327,156709.35083476093,0.03929313929313929,75.6
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.49367960107354425,1924,0.009636226611226612,0.5542012978056179,0.059456360024603194,0.10091592463014246,0.49367960107354425,-0.21116693904825257,0.28156093133034027,155420.12978056178,0.028586278586278588,55.0
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.4853626689943672,1924,0.009636226611226612,0.5488598950121786,0.058978747123934916,0.10166113643420925,0.4853626689943672,-0.26340468907398196,0.22390925283554716,154885.98950121785,0.03367983367983368,64.8
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.4523027222111349,1924,0.009636226611226612,0.5126081602526291,0.055698861850543846,0.10184027859512905,0.4523027222111349,-0.22961357292367135,0.24257652168088245,151260.8160252629,0.017567567567567565,33.8
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.4258186595893628,1924,0.009636226611226612,0.47827070305102404,0.05252855723672489,0.10072910066191415,0.4258186595893628,-0.2672315325234189,0.1965657149091174,147827.07030510242,0.028794178794178796,55.400000000000006
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.41551773193367625,1924,0.009636226611226612,0.487045959334945,0.05334479690969496,0.10519062590918499,0.41551773193367625,-0.21116693904825345,0.2526190754581389,148704.5959334945,0.018087318087318085,34.8
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.38746858028351333,1924,0.009636226611226612,0.44118123525846786,0.04903144553466188,0.10167332508511923,0.38746858028351333,-0.23995517094736563,0.2043358571564893,144118.12352584678,0.02318087318087318,44.599999999999994
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.3714972299209193,1924,0.009636226611226612,0.47534206583904837,0.052255209729300534,0.11472220971108246,0.3714972299209193,-0.23735667022877016,0.22015479775198937,147534.20658390483,0.028066528066528068,54.0
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.36043740507038824,1924,0.009636226611226612,0.40846623906839286,0.04588126173014295,0.1005584731469205,0.36043740507038824,-0.27706964147896984,0.1655946912308162,140846.6239068393,0.0344074844074844,66.19999999999999
