mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.5880734992769925,1924,0.009636226611226612,0.6605083474027509,0.06867719671480188,0.10039726356682158,0.5880734992769925,-0.2319929766252301,0.29603136143964187,166050.83474027508,0.021725571725571727,41.800000000000004
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.5857534769894317,1924,0.009636226611226612,0.6656139297848267,0.06910699704739187,0.10152866824081737,0.5857534769894317,-0.22649637543329992,0.3051130373066077,166561.39297848268,0.03544698544698544,68.19999999999999
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.583240981619377,1924,0.009636226611226612,0.6536337099679614,0.06809665514313812,0.10023374621172074,0.583240981619377,-0.225704181688977,0.3017075476119273,165363.37099679615,0.030665280665280667,59.0
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.5774560631791398,1924,0.009636226611226612,0.6521130504193111,0.06796795699413605,0.1010150106689825,0.5774560631791398,-0.24343327157892847,0.27920569999856726,165211.3050419311,0.022245322245322243,42.8
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.576043168923323,1924,0.009636226611226612,0.671733675446945,0.06962066606067285,0.10413184755156912,0.576043168923323,-0.22835871764399007,0.30487413302614125,167173.36754469448,0.03648648648648649,70.2
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.5631684088268902,1924,0.009636226611226612,0.6513347592778749,0.06790204796184374,0.10346074182674404,0.5631684088268902,-0.2390734040483098,0.2840217557119934,165133.47592778748,0.032224532224532226,62.0
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.5214615441994703,1924,0.009636226611226612,0.5773850873710085,0.06151299726416726,0.09948340626455987,0.5214615441994703,-0.24445757577907645,0.2516305623506566,157738.50873710084,0.023804573804573802,45.8
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.5181968020773953,1924,0.009636226611226612,0.566026487023733,0.06050868048567848,0.09817207221370272,0.5181968020773953,-0.2436867819086399,0.24830513994954254,156602.6487023733,0.019022869022869024,36.6
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.4936394194015509,1924,0.009636226611226612,0.5916137940324293,0.06276225621989617,0.10762112489532405,0.4936394194015509,-0.23434737951425433,0.2678171880990827,159161.37940324293,0.023804573804573806,45.800000000000004
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.4806530255050647,1924,0.009636226611226612,0.5721881752840003,0.06105427377497108,0.10697539479693272,0.4806530255050647,-0.2449808550916307,0.24922059216478293,157218.81752840005,0.01954261954261954,37.599999999999994
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.4641246974444933,1924,0.009636226611226612,0.5235000067313038,0.05669141948960088,0.101384807008685,0.4641246974444933,-0.24941130868703876,0.22730091826244037,152350.0006731304,0.018607068607068605,35.8
