mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.36956714966688614,1924,0.009636226611226612,0.4392749140703105,0.048849596415996066,0.10610621057665678,0.36956714966688614,-0.26820706520612947,0.1821338911353916,143927.49140703105,0.17941787941787943,345.20000000000005
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.3111135646055203,1924,0.009636226611226612,0.37570719291351073,0.04266246384624428,0.10615492537875562,0.3111135646055203,-0.2668018360230612,0.1599031868827047,137570.71929135107,0.1865904365904366,359.0
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.19513809421489675,1924,0.009636226611226612,0.2562136086926874,0.030326932217540126,0.10603109397762067,0.19513809421489675,-0.2660498442903988,0.11398966347237424,125621.36086926874,0.1787941787941788,344.0
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.13774886195836,1924,0.009636226611226612,0.20072704551963572,0.024248615450191746,0.1060799242274851,0.13774886195836,-0.2648722049856521,0.09154835801478405,120072.70455196357,0.18596673596673594,357.79999999999995
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.1337563030587584,1924,0.009636226611226612,0.18899650569839643,0.022932404552078678,0.09940599161903517,0.1337563030587584,-0.2777167849505605,0.08257478767860982,118899.65056983965,0.1920997920997921,369.6
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.03367486817680898,1924,0.009636226611226612,0.10523385058889212,0.013191420321033265,0.1055740943406283,0.03367486817680898,-0.27776370783010884,0.047491518687177284,110523.38505888921,0.30790020790020783,592.3999999999999
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.029966090170867744,1924,0.009636226611226612,0.10187134036679191,0.012787150584121276,0.10514965265498369,0.029966090170867744,-0.29702071933130425,0.04305137571853421,110187.13403667918,0.18471933471933472,355.4
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.01715713314702138,1924,0.009636226611226612,0.09027975011972744,0.011385242675625351,0.10194104396178696,0.01715713314702138,-0.281568393021693,0.040435087736385926,109027.97501197274,0.12837837837837837,246.99999999999997
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.013350138824688093,1924,0.009636226611226612,0.08749105743871444,0.01104604101807749,0.10560297726970015,0.013350138824688093,-0.29659814064108625,0.03724244863505168,108749.10574387145,0.11403326403326403,219.39999999999998
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.04886184707631188,1924,0.009636226611226612,0.03726585593156595,0.004803727270234592,0.09890128249643688,-0.04886184707631188,-0.27234845031776245,0.01763816634399735,103726.58559315659,0.1918918918918919,369.20000000000005
0->rebound; 1->cautious; 2->aggressive; 3->defensive,-0.05726215443839972,1924,0.009636226611226612,0.026876405500994682,0.003479760622597805,0.10751369816606675,-0.05726215443839972,-0.2923817255290998,0.011901429941631136,102687.64055009947,0.3148648648648649,605.8000000000001
0->cautious; 1->defensive; 2->rebound; 3->aggressive,-0.06712824056984586,1924,0.009636226611226612,0.021904273864715718,0.0028420200505314686,0.10121234376202488,-0.06712824056984586,-0.2837492758954895,0.010015955253321038,102190.42738647157,0.25686070686070683,494.19999999999993
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.09386845460842312,1924,0.009636226611226612,-0.00181749173256196,-0.00023823805880340831,0.10519470796895332,-0.09386845460842312,-0.3028678030482982,-0.0007866074122293435,99818.25082674381,0.11434511434511432,219.99999999999997
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.0939643037606665,1924,0.009636226611226612,0.000737856992558017,9.661142193584382e-05,0.10152382136080974,-0.0939643037606665,-0.28797129342801364,0.0003354897663089273,100073.78569925581,0.1286902286902287,247.6
0->aggressive; 1->defensive; 2->rebound; 3->cautious,-0.10156326474484585,1924,0.009636226611226612,-0.00922307555175128,-0.0012128811237385184,0.10682117951033769,-0.10156326474484585,-0.3148201841563697,-0.0038526155080834527,99077.69244482488,0.24230769230769234,466.20000000000005
0->aggressive; 1->rebound; 2->cautious; 3->defensive,-0.14238026649352006,1924,0.009636226611226612,-0.039507345100253444,-0.005265637504537679,0.10466242607041684,-0.14238026649352006,-0.29924144703916367,-0.017596618238009426,96049.26548997466,0.18492723492723492,355.8
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-0.1523406565889635,1924,0.009636226611226612,-0.05013166127726976,-0.006713763329836309,0.10732519018332375,-0.1523406565889635,-0.29412241461282695,-0.022826425312311154,94986.83387227303,0.37266112266112267,717.0
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.18346411323764647,1924,0.009636226611226612,-0.07669913158179875,-0.01039755977068857,0.1091973031039854,-0.18346411323764647,-0.31031166325403514,-0.033506828785151585,92330.08684182013,0.3724532224532225,716.6
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.3045360287944621,1924,0.009636226611226612,-0.15846369298506424,-0.022343576913089747,0.10501156021148554,-0.3045360287944621,-0.2702483461533667,-0.0826779413495826,84153.63070149357,0.30706860706860706,590.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.35460563321205013,1924,0.009636226611226612,-0.18173374339123727,-0.02592770718379389,0.10029150826759052,-0.35460563321205013,-0.28947992927695354,-0.0895665107026751,81826.62566087628,0.256964656964657,494.4
0->aggressive; 1->rebound; 2->defensive; 3->cautious,-0.3738667861168559,1924,0.009636226611226612,-0.2072812274610375,-0.02996609363574254,0.10592628636070131,-0.3738667861168559,-0.3229892854592148,-0.09277736130824836,79271.87725389625,0.2428274428274428,467.2
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.387563125848231,1924,0.009636226611226612,-0.2187583233178353,-0.031817251913034306,0.10695929452404618,-0.387563125848231,-0.3026826751780698,-0.10511751917851278,78124.16766821647,0.31444906444906445,605.0
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.5818623277188003,1924,0.009636226611226612,-0.3361785234504471,-0.05225218973247203,0.10636264524347723,-0.5818623277188003,-0.3913078655820472,-0.13353217333045428,66382.14765495529,0.37214137214137216,716.0
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.6051431230820516,1924,0.009636226611226612,-0.3552602732016744,-0.05586582178127952,0.10824224203176588,-0.6051431230820516,-0.41262970916224795,-0.13538972240923355,64473.97267983256,0.37234927234927234,716.4
