mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.48874411266532203,1924,0.009636226611226612,0.5538682821366452,0.05942662444667346,0.10187416389308385,0.48874411266532203,-0.2747724798022779,0.21627575108481006,155386.82821366453,0.027858627858627857,53.599999999999994
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.48867630486664365,1924,0.009636226611226612,0.553484252239923,0.059392326838699994,0.10181811504253614,0.48867630486664365,-0.26477827537548915,0.22430966722807658,155348.4252239923,0.02650727650727651,51.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.4840319822480105,1924,0.009636226611226612,0.5354272222147529,0.05777127981353769,0.09944601796508444,0.4840319822480105,-0.23830914206429554,0.24242158447262196,153542.7222214753,0.022141372141372143,42.6
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.47993902872496125,1924,0.009636226611226612,0.5629835948991662,0.06023855590166982,0.10543491206555301,0.47993902872496125,-0.2647599344872078,0.2275214186706196,156298.35948991662,0.024324324324324322,46.8
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.4770943569854742,1924,0.009636226611226612,0.5429297234459587,0.05844680856739637,0.1023080261619105,0.4770943569854742,-0.25694965870298225,0.22746404436737247,154292.97234459588,0.03981288981288981,76.6
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.4745868888193759,1924,0.009636226611226612,0.5491533555908965,0.05900502465760438,0.10402478283627248,0.4745868888193759,-0.2792847184387802,0.2112719413630875,154915.33555908964,0.0446985446985447,86.0
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.46394266945294665,1924,0.009636226611226612,0.5244177085881132,0.056774766334073634,0.10160423437324693,0.46394266945294665,-0.2403612207170569,0.23620601594841498,152441.77085881133,0.03056133056133056,58.8
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.4615180488191713,1924,0.009636226611226612,0.5514078677013448,0.05920675776999684,0.10740756788515676,0.4615180488191713,-0.25663674820330973,0.23070257157050933,155140.78677013447,0.03139293139293139,60.39999999999999
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.45789359964819637,1924,0.009636226611226612,0.5318532637040072,0.057448469669241,0.1044178016350282,0.45789359964819637,-0.2589520537020924,0.22184983222929658,153185.32637040073,0.04823284823284823,92.8
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.4558489903612424,1924,0.009636226611226612,0.5376640917029436,0.05797298817520291,0.10603678539612717,0.4558489903612424,-0.27132166711260863,0.21366884846370177,153766.40917029436,0.05176715176715176,99.6
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.4446300400727456,1924,0.009636226611226612,0.5365981181957893,0.05787689648179417,0.10849620026275089,0.4446300400727456,-0.2325703047600738,0.2488576370121785,153659.81181957893,0.01455301455301455,27.999999999999996
