mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.6547082671174829,1924,0.009636226611226612,0.7315658075206257,0.07455848128336262,0.09916211224576787,0.6547082671174829,-0.21875397293547494,0.3408325813828984,173156.58075206258,0.030665280665280667,59.0
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.6324995863199041,1924,0.009636226611226612,0.7043152234438852,0.07232824307827701,0.09911787742315167,0.6324995863199041,-0.25026738184812924,0.28900387475251665,170431.52234438853,0.02650727650727651,51.0
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.6194172185249346,1924,0.009636226611226612,0.7114806920149046,0.0729176644270737,0.10216286522764736,0.6194172185249346,-0.21320859284100202,0.3420015274968362,171148.06920149046,0.02442827442827443,47.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.5668949446776224,1924,0.009636226611226612,0.6263092328539586,0.06576825380274154,0.0990166303625016,0.5668949446776224,-0.2239282935183351,0.2937022953616019,162630.92328539587,0.03461538461538461,66.6
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.5594408390040582,1924,0.009636226611226612,0.6493624106165707,0.06773490004876526,0.10385132687304083,0.5594408390040582,-0.23305842887761252,0.2906348436955066,164936.24106165709,0.019438669438669443,37.400000000000006
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.5433988892261384,1924,0.009636226611226612,0.5977701192822029,0.06329976639511337,0.09875533580922427,0.5433988892261384,-0.2623735599159781,0.24125817561565402,159777.01192822028,0.028170478170478172,54.2
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.5421080729792415,1924,0.009636226611226612,0.6281607996367695,0.0659271010752005,0.10383699721462993,0.5421080729792415,-0.2717485037591838,0.24260336363663412,162816.07996367695,0.024844074844074845,47.800000000000004
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.5342441647263283,1924,0.009636226611226612,0.6074443227715656,0.06414079803096562,0.10202183761363028,0.5342441647263283,-0.21841754570282523,0.2936613806577351,160744.43227715656,0.02837837837837838,54.6
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.5055411759787434,1924,0.009636226611226612,0.594168848729725,0.06298555757864066,0.10552915074450285,0.5055411759787434,-0.2602763012646907,0.24199497715539933,159416.8848729725,0.024012474012474014,46.2
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.46714072454756395,1924,0.009636226611226612,0.5378991501953647,0.05799416962492865,0.10351900502902582,0.46714072454756395,-0.2352287825026309,0.2465436797653791,153789.91501953648,0.024220374220374218,46.599999999999994
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.45717604711604665,1924,0.009636226611226612,0.5263689894494035,0.05695183930991643,0.10349538869581137,0.45717604711604665,-0.283509771661419,0.20088139811255273,152636.89894494036,0.026507276507276505,50.99999999999999
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.4502051702211408,1924,0.009636226611226612,0.5053701363749135,0.055035830843287226,0.1008420321111824,0.4502051702211408,-0.23869380938149387,0.23057083460143646,150537.01363749136,0.02962577962577962,56.99999999999999
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.4486442279675167,1924,0.009636226611226612,0.5026041140954816,0.05478172066904685,0.10062649030912958,0.4486442279675167,-0.24598892726941068,0.22269994538839183,150260.41140954816,0.02733887733887734,52.6
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.4149386116589118,1924,0.009636226611226612,0.4864354193656819,0.05328814256415382,0.10520090135359587,0.4149386116589118,-0.26236995315338696,0.20310306848665882,148643.5419365682,0.028794178794178792,55.4
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.3832789145210749,1924,0.009636226611226612,0.4521647042289487,0.050075134707780355,0.10550778183841414,0.3832789145210749,-0.2222296859812699,0.22533053802722294,145216.47042289487,0.02422037422037422,46.6
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.37450620077334884,1924,0.009636226611226612,0.44166589967200043,0.04907764565016359,0.105315797061547,0.37450620077334884,-0.2188705568812387,0.22423137378315167,144166.58996720004,0.025051975051975053,48.2
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.29617397382021576,1924,0.009636226611226612,0.36873651488916925,0.04196896400219674,0.10916805745597628,0.29617397382021576,-0.24201027733935654,0.1734181063035855,136873.65148891692,0.02006237006237006,38.599999999999994
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.2944030586815888,1924,0.009636226611226612,0.36621862787339565,0.04171770939248676,0.10897129576346498,0.2944030586815888,-0.24927366127149275,0.16735706925350016,136621.86278733957,0.017775467775467776,34.2
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.2915762887716384,1924,0.009636226611226612,0.35708262487269504,0.04080265506540548,0.10688944764842766,0.2915762887716384,-0.28777967010509087,0.1417843555470935,135708.2624872695,0.03066528066528067,59.00000000000001
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.2846728984126399,1924,0.009636226611226612,0.3497631409902826,0.04006567106231218,0.10689266389868063,0.2846728984126399,-0.2781373914551324,0.14404992745743556,134976.31409902827,0.033783783783783786,65.0
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.2619432051493432,1924,0.009636226611226612,0.33586545958973923,0.0386567321035689,0.11078930440587935,0.2619432051493432,-0.2306928211375635,0.16756798895149694,133586.54595897393,0.020893970893970895,40.2
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.2534630167643738,1924,0.009636226611226612,0.3262095114414194,0.03767029875587924,0.11060419189563214,0.2534630167643738,-0.22775491820069937,0.16539839865360836,132620.95114414193,0.021725571725571723,41.8
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.22122070019586304,1924,0.009636226611226612,0.29162951415686056,0.034085696921009045,0.11052071658816516,0.22122070019586304,-0.2699626661020388,0.12626078047445846,129162.95141568605,0.022765072765072763,43.8
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.2145874690577102,1924,0.009636226611226612,0.28466214689564606,0.03335337352553136,0.11052437972473762,0.2145874690577102,-0.2600808686319842,0.12824231824881574,128466.2146895646,0.02588357588357588,49.8
