mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.5947464179399475,1924,0.009636226611226612,0.6659980316537799,0.06913928534951519,0.10004777993349208,0.5947464179399475,-0.21483839592200726,0.3218199663649267,166599.803165378,0.07754677754677754,149.2
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.5396861627997622,1924,0.009636226611226612,0.7164959111070655,0.07332893483195435,0.11801804939801545,0.5396861627997622,-0.19729334445078794,0.3716746504352823,171649.59111070653,0.0713097713097713,137.2
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.5081039561155082,1924,0.009636226611226612,0.5611277510947676,0.060073583901308014,0.09926582283609575,0.5081039561155082,-0.21888187827758676,0.2744566355791341,156112.77510947676,0.07380457380457381,142.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.4736758368029165,1924,0.009636226611226612,0.6455690541692898,0.06741294081786098,0.12197521958603448,0.4736758368029165,-0.21559033214463674,0.3126899993485539,164556.905416929,0.060706860706860696,116.79999999999998
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.4651141809709379,1924,0.009636226611226612,0.6084297958709757,0.06422622357253704,0.11736902290820805,0.4651141809709379,-0.19559225959992677,0.3283679206115225,160842.97958709756,0.06756756756756757,130.0
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.44616662117453243,1924,0.009636226611226612,0.46270391003136946,0.05107017879469922,0.09286654406014919,0.44616662117453243,-0.27714237745284165,0.18427415996093663,146270.39100313696,0.10020790020790021,192.8
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.42199835295285054,1924,0.009636226611226612,0.5760336985151835,0.06139383873951054,0.12264884866521449,0.42199835295285054,-0.2142492614943704,0.28655332723806715,157603.36985151834,0.04875259875259875,93.8
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.37223605893939243,1924,0.009636226611226612,0.37416401327435,0.04250919938487385,0.08831216639062803,0.37223605893939243,-0.2779976662374488,0.15291207282497496,137416.401327435,0.05187110187110187,99.8
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.3664048790948454,1924,0.009636226611226612,0.378690602637181,0.042958344949922234,0.09094343509020265,0.3664048790948454,-0.30013718310060655,0.14312903355104295,137869.0602637181,0.08513513513513514,163.8
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.3616223041404396,1924,0.009636226611226612,0.4507273296642851,0.049938941080875265,0.11144974745251526,0.3616223041404396,-0.270258567565016,0.1847820830651797,145072.7329664285,0.08336798336798336,160.39999999999998
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.35881025488282636,1924,0.009636226611226612,0.36615378906428564,0.04171123395219256,0.08939267176586248,0.35881025488282636,-0.274513317008221,0.1519461219833769,136615.37890642855,0.06320166320166319,121.59999999999998
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.3065393149257275,1924,0.009636226611226612,0.3894434999716363,0.044020172458247186,0.11216814344141007,0.3065393149257275,-0.2690094743732878,0.16363800033735285,138944.34999716363,0.07141372141372142,137.4
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.28168420112683334,1924,0.009636226611226612,0.328624562074306,0.03791759958826746,0.10040099112376791,0.28168420112683334,-0.3154467701416179,0.12020284617669276,132862.4562074306,0.11663201663201664,224.4
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.27841394192586744,1924,0.009636226611226612,0.38197710225675063,0.043283641762489555,0.1208539160018867,0.27841394192586744,-0.20572797609867044,0.2103925901732005,138197.71022567505,0.08201663201663202,157.8
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.2566299693677021,1924,0.009636226611226612,0.3521361476306273,0.04030498395619819,0.11950575149322902,0.2566299693677021,-0.2074292604990433,0.19430712841202114,135213.61476306274,0.09022869022869023,173.60000000000002
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.2055924766898292,1924,0.009636226611226612,0.25232692714121896,0.029908841453010426,0.09860582044725529,0.2055924766898292,-0.3389055478386038,0.08825125951391578,125232.69271412189,0.10155925155925155,195.39999999999998
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.10444973506973478,1924,0.009636226611226612,0.16721905115933278,0.02045868068672485,0.10361399258957181,0.10444973506973478,-0.3155111352687523,0.0648429750959444,116721.90511593327,0.08201663201663202,157.8
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.09711351135457731,1924,0.009636226611226612,0.15127128947165613,0.018621588399921896,0.09252432193382709,0.09711351135457731,-0.29033156795493176,0.06413904120413295,115127.12894716562,0.07577962577962578,145.8
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.0876951870419161,1924,0.009636226611226612,0.14455430087078835,0.017841203442574338,0.09356245317574786,0.0876951870419161,-0.29223900628796573,0.061050041434215725,114455.43008707883,0.0871101871101871,167.6
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.08599052803300872,1924,0.009636226611226612,0.14873237170507636,0.018327081252715205,0.10106758081718584,0.08599052803300872,-0.3406271467937586,0.053803936137279754,114873.23717050764,0.0788981288981289,151.8
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.05378398193170438,1924,0.009636226611226612,0.12370601573218565,0.015393423148936769,0.10704295834809557,0.05378398193170438,-0.2338330922055728,0.06583081549211924,112370.60157321856,0.11216216216216214,215.79999999999995
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.02711858833104679,1924,0.009636226611226612,0.09946351173952084,0.012497001588363199,0.105491294097393,0.02711858833104679,-0.25559890224779913,0.04889301745219372,109946.35117395209,0.12037422037422038,231.60000000000002
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.0006532269610392802,1924,0.009636226611226612,0.07650001485510982,0.00970174571536453,0.10030067349589572,0.0006532269610392802,-0.2895546404300473,0.0335057511112772,107650.00148551098,0.0895010395010395,172.20000000000002
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.020907301271458973,1924,0.009636226611226612,0.05946692485098204,0.007594703872390918,0.09764640172008346,-0.020907301271458973,-0.3138813802203111,0.024196095566612615,105946.6924850982,0.08638253638253637,166.2
