mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.08366514414811911,1924,0.009636226611226612,0.14566379675116936,0.01797037947440172,0.0996132015074341,0.08366514414811911,-0.2512232083701421,0.07153152605202338,114566.37967511694,0.34428274428274425,662.4
0->aggressive; 1->rebound; 2->cautious; 3->defensive,-0.021099840914248144,1924,0.009636226611226612,0.058817224417555325,0.007513752754209069,0.10059193648158243,-0.021099840914248144,-0.27223859299608744,0.027599880940896042,105881.72244175553,0.3482328482328482,670.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.06642570720609682,1924,0.009636226611226612,0.023403874412024406,0.003034646809633834,0.09938290579444306,-0.06642570720609682,-0.29104191090274234,0.010426837840024778,102340.38744120245,0.3153846153846154,606.8
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.11824113165551668,1924,0.009636226611226612,-0.022056524959776724,-0.002916973614045304,0.10616610353361948,-0.11824113165551668,-0.2918430733482372,-0.009995007181700936,97794.34750402233,0.4765072765072765,916.8
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.12565908331120368,1924,0.009636226611226612,-0.028985841406027224,-0.0038451796599989763,0.10728556914455538,-0.12565908331120368,-0.29428608335695206,-0.013066128089159402,97101.41585939728,0.44469854469854464,855.5999999999999
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.16389907056199252,1924,0.009636226611226612,-0.058711543929692134,-0.007893536819142177,0.10695462378316785,-0.16389907056199252,-0.30536276244304317,-0.025849703336419397,94128.84560703079,0.3992723492723493,768.2
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.21286016336427754,1924,0.009636226611226612,-0.09620916283631176,-0.013161910016022071,0.10710382002400876,-0.21286016336427754,-0.3182602862081264,-0.04135580399564788,90379.08371636883,0.4804573804573805,924.4000000000001
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.25235685296696503,1924,0.009636226611226612,-0.12473781348963153,-0.017298943353912133,0.1067344502376748,-0.25235685296696503,-0.31932509637424444,-0.054173453794680825,87526.21865103685,0.41122661122661125,791.2
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.2906990889029421,1924,0.009636226611226612,-0.1515288929940739,-0.021292116492335644,0.10639298258650043,-0.2906990889029421,-0.32643452353427704,-0.06522630101071365,84847.1107005926,0.36580041580041583,703.8000000000001
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.362980723889654,1924,0.009636226611226612,-0.2034682616964738,-0.029356247544545244,0.10742298857618,-0.362980723889654,-0.3538003699804212,-0.08297404422208426,79653.17383035262,0.4021829521829522,773.8000000000001
0->aggressive; 1->cautious; 2->rebound; 3->defensive,-0.36655789849736575,1924,0.009636226611226612,-0.19058431857068925,-0.027314187226891717,0.10080375839557545,-0.36655789849736575,-0.3250722517733394,-0.08402497314946729,80941.56814293108,0.3164241164241164,608.8
0->aggressive; 1->defensive; 2->cautious; 3->rebound,-0.3726527060883639,1924,0.009636226611226612,-0.1935166729252421,-0.027776459177796142,0.10039558328110303,-0.3726527060883639,-0.3243787324382019,-0.08562971736467925,80648.33270747578,0.3360706860706861,646.6
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.38383486274750833,1924,0.009636226611226612,-0.21256928480529513,-0.030816098945100512,0.10538992020361944,-0.38383486274750833,-0.3329947149911038,-0.09254230640244182,78743.07151947048,0.4141372141372141,796.8
0->cautious; 1->aggressive; 2->rebound; 3->defensive,-0.41447581230261477,1924,0.009636226611226612,-0.24062760314336296,-0.03541098103890128,0.10868476835805867,-0.41447581230261477,-0.366290617385859,-0.09667455118458176,75937.2396856637,0.4515592515592516,868.8000000000001
0->aggressive; 1->defensive; 2->rebound; 3->cautious,-0.5656050696234658,1924,0.009636226611226612,-0.30985034802636946,-0.04741168036363663,0.10086173204359913,-0.5656050696234658,-0.3622109368395542,-0.13089522027502506,69014.96519736305,0.33316008316008316,641.0
0->rebound; 1->defensive; 2->cautious; 3->aggressive,-0.660420192639654,1924,0.009636226611226612,-0.3794883452090635,-0.06059042564753381,0.106336318970002,-0.660420192639654,-0.43676183435556837,-0.13872646573374142,62051.16547909365,0.43482328482328486,836.6
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.6644859381175933,1924,0.009636226611226612,-0.37880071434123175,-0.06045414102603863,0.10548058825115639,-0.6644859381175933,-0.4237200093610869,-0.14267473730399324,62119.92856587683,0.36081081081081084,694.2
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-0.7114680040338757,1924,0.009636226611226612,-0.4077771551795131,-0.06631419005099082,0.10675169681783911,-0.7114680040338757,-0.44957389023667715,-0.14750454039063493,59222.28448204869,0.41018711018711024,789.2
0->defensive; 1->cautious; 2->rebound; 3->aggressive,-0.74946050443652,1924,0.009636226611226612,-0.42607693816676806,-0.07014475232699047,0.10645121185965657,-0.74946050443652,-0.4742059993711093,-0.14792042365557637,57392.30618332319,0.3976091476091476,765.0
0->rebound; 1->cautious; 2->aggressive; 3->defensive,-0.829558404355269,1924,0.009636226611226612,-0.4612206725723913,-0.07780880056108641,0.10541153788957766,-0.829558404355269,-0.4974873590004951,-0.15640357318307052,53877.93274276087,0.40727650727650727,783.6
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.9251254243430302,1924,0.009636226611226612,-0.5034760812142649,-0.08762134511924113,0.1051290659312864,-0.9251254243430302,-0.5400195505737511,-0.16225587578476863,49652.39187857351,0.3897089397089397,749.8000000000001
0->cautious; 1->defensive; 2->rebound; 3->aggressive,-0.9714670253900369,1924,0.009636226611226612,-0.5334790844375306,-0.09503936284448,0.10775001798303975,-0.9714670253900369,-0.5730930532912653,-0.16583583119472534,46652.09155624695,0.46372141372141373,892.2
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-1.0098471199280512,1924,0.009636226611226612,-0.5406235698381516,-0.09686676037760478,0.10546446574647797,-1.0098471199280512,-0.572146255816607,-0.16930419345198683,45937.64301618484,0.424012474012474,815.8
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-1.1431648327882629,1924,0.009636226611226612,-0.5964019410278218,-0.11205035163624766,0.1064470973539938,-1.1431648327882629,-0.6265369215855494,-0.17884077981020938,40359.80589721781,0.45582120582120583,877.0
