mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.4139405777942864,1924,0.009636226611226612,0.4682276508693599,0.05158920886736862,0.10135025292686124,0.4139405777942864,-0.22876496203313956,0.22551184590888204,146822.76508693598,0.0420997920997921,81.0
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.3867178619908641,1924,0.009636226611226612,0.4422709417651134,0.04913530170029756,0.10213925699145515,0.3867178619908641,-0.22655126468242848,0.21688381112845997,144227.09417651134,0.05187110187110187,99.8
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.37108132388906884,1924,0.009636226611226612,0.4406438131085515,0.04898020055527508,0.10602520636638121,0.37108132388906884,-0.24245567996582262,0.20201712973760605,144064.38131085515,0.047609147609147605,91.6
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.3699766185827812,1924,0.009636226611226612,0.42580722775995516,0.04755888117369422,0.10250013827287989,0.3699766185827812,-0.2736130240785275,0.17381804588382724,142580.72277599553,0.0682952182952183,131.4
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.36715894541728505,1924,0.009636226611226612,0.411485585269725,0.046174648243936245,0.09951663193493171,0.36715894541728505,-0.3228820084522078,0.14300780791497988,141148.5585269725,0.0607068607068607,116.8
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.3662567198830303,1924,0.009636226611226612,0.4356507693606171,0.04850330149863202,0.10611975911272893,0.3662567198830303,-0.23626295091284444,0.20529372595758577,143565.0769360617,0.049999999999999996,96.19999999999999
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.3516104031309537,1924,0.009636226611226612,0.3973715849053272,0.0447984912304622,0.1000034819963497,0.3516104031309537,-0.30161984230049366,0.1485263399409611,139737.15849053272,0.06642411642411643,127.80000000000001
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.34906417451781946,1924,0.009636226611226612,0.4125512835857752,0.04627807075165724,0.10497165511483933,0.34906417451781946,-0.32016087443166485,0.1445463029603726,141255.12835857752,0.08024948024948025,154.4
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.3459309206603518,1924,0.009636226611226612,0.4366907439299583,0.04860275098167777,0.11264250184998635,0.3459309206603518,-0.290562974611705,0.1672709712812799,143669.07439299583,0.06548856548856549,126.0
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.3435085711387487,1924,0.009636226611226612,0.40059892705538336,0.04511422838335877,0.10328127084142542,0.3435085711387487,-0.27139478480349555,0.1662310070402565,140059.89270553834,0.07806652806652806,150.2
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.3343992953036624,1924,0.009636226611226612,0.41875675411127933,0.04687894772317569,0.11137200835943625,0.3343992953036624,-0.2649862871401193,0.17691084406336494,141875.67541112794,0.04781704781704782,92.0
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.32816643802286655,1924,0.009636226611226612,0.42287132391831483,0.04727610434207019,0.11469752348112103,0.32816643802286655,-0.22694606750668955,0.20831426982393808,142287.1323918315,0.05904365904365905,113.60000000000001
