state_id,cash,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,-0.0005070196469209268,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.00036031019683454614,0.0,0.0010534347509869545,0.0,0.0
8,-0.00013000000000000002,-0.00024672078586322104,0.0,0.0,0.00014280593207387376
9,-0.000131183035950966,0.0011318213380071811,0.00017726469386477643,0.000454732335202057,0.0
10,-0.00010858842464106654,0.0,0.0,6.164266484621843e-05,0.0
11,0.0,-0.00020710366516863812,0.0,0.000722164131480402,0.0
12,0.0,0.0,0.0,0.0002595764317258671,0.0
13,0.0007642454532620579,-0.0006319260371923115,0.004931196897692152,0.0010113682341156814,0.00036821726535272894
14,-0.0003574867516155868,-4.0786007627875666e-05,0.0029036017124668967,-0.0007558154240841122,-0.0006267177492093475
15,0.00040060546267052435,0.002021649610180411,0.004699871574442652,0.004705697806803768,0.0009483665948834273
16,-0.0003435896033362488,0.0005230603432843837,0.00129327338362301,0.005275862286661937,0.0014454673124624216
17,-0.0003315003949966578,-0.0002355646986897532,0.0020493771642214357,-0.0013694879280339784,-0.0004788156021644099
18,0.0,0.0,0.0,0.0,0.0
19,0.0008699001876085948,-0.0001659213106176277,0.0002451025833811371,-0.0006876119577443416,0.001648515153972761
20,-0.0004201625837937908,3.27690707897845e-05,0.0028588003556148443,1.950780315317514e-05,0.00038896470182076665
21,0.0007384650465628066,-0.0005456485079234082,0.005899673122384948,0.00018949842326515813,-0.0008385949282493381
22,-0.00012167203007450324,-0.0009294872536975879,0.004136544457340333,-0.0006293100158573299,0.0012682880575193985
23,-0.0006965748901654985,-0.0016155394336271832,0.0026134276524994796,-0.0009009364840745985,-0.001013802427599079
