epoch,train_loss,val_loss
1,0.7667981693821568,0.7616954073309898
2,0.6658737524863212,0.7326341532170773
3,0.6272953835225874,0.7325137481093407
4,0.6317586139325173,0.7324901521205902
5,0.5960807175405564,0.72612364590168
6,0.5985083868426662,0.7353857606649399
7,0.5928553073636947,0.7277090400457382
8,0.5357796001818872,0.7297549024224281
9,0.5287475893574376,0.7359844520688057
10,0.5156229109533371,0.7274193614721298
11,0.49823591882182705,0.7312649190425873
12,0.4857143990455135,0.7447756454348564
13,0.4765385235509565,0.7480683401226997
