epoch,train_loss,val_loss
1,0.7829882560237762,0.7632181718945503
2,0.6716868223682526,0.744613453745842
3,0.6474454287559755,0.734524205327034
4,0.6352547522514097,0.7263433523476124
5,0.6260254296564287,0.7307609766721725
6,0.6285997302301468,0.7281864732503891
7,0.6271569036668346,0.7195919305086136
8,0.5996680576955119,0.7270260341465473
9,0.6042082771178214,0.7269731312990189
10,0.5908568780268392,0.727123074233532
11,0.5810739917139853,0.7241282984614372
12,0.5717152414783355,0.7309662625193596
13,0.5585634910291241,0.7288377806544304
14,0.5410666927214591,0.7373588532209396
15,0.5537902385957779,0.7319816648960114
