state_id,cash,defensive,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,6.68855852431022e-05,-0.0006561049432122289,-0.001058779461969133,-0.0011897512699193128
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0007158541630094209,-0.00018855416525124851,-0.0006030665744349246,-0.0011231419741488439
7,5.4307728419807233e-05,0.0041505844944901265,-8.357335153781577e-06,0.0006205679530062182
8,0.0,0.00016247768512971225,-0.0004208616730033126,-0.0011818611386686312
9,-0.00010068928489800232,0.0,-0.000755867382400616,0.0027928277656886526
10,-5.204934452566687e-05,0.0,0.0002595764317258671,0.0
11,0.0012743613586090829,-0.00013510779414156347,-0.0023818165294529343,0.0012388862478632636
12,0.00012525944941773161,0.0012460088620284055,-0.0014765655216641797,-0.0029008073788394343
13,-0.0008629422745094959,-0.0005936391518762882,-0.0008338268150466577,0.008770216068591078
14,-0.0008833258621834232,0.0021353862863276517,-0.0013164460915640656,-0.0041250907749915
15,0.0,0.0,0.0,0.0
16,0.0010535502721957485,0.0005011725760621362,0.0007570203581801027,-0.0016636753799480594
17,0.0001491186767907631,0.0003937888879500477,0.00016270867089561197,-0.0034337517647441687
18,-0.0010692964088822412,0.002427584748640039,0.0005576098461967252,-0.0024289358904559196
19,-0.0009753918941257619,-0.001257369972552005,-0.002612480103358652,-0.0014302403171854092
