epoch,train_loss,val_loss
1,0.9601050999856764,0.9008643759621514
2,0.7799754758034984,0.8163108891910977
3,0.7107137806953923,0.7876024179988437
4,0.7137944679106435,0.782633900642395
5,0.6800553404515789,0.7719570067193773
6,0.6638638809803994,0.7701802651087443
7,0.6380323306206734,0.7654349605242411
8,0.6368476959966844,0.7651953233612908
9,0.626837694837201,0.7642404569519891
10,0.6238082387754994,0.7605679697460599
11,0.6141676498997596,0.7645126581192017
12,0.6145916023562031,0.7651146584086947
13,0.5895743648852071,0.765847278965844
14,0.5888302931862492,0.7696120076709323
15,0.5734862569839724,0.7703991598553128
16,0.5633356984584562,0.7689999474419488
17,0.5423887948836049,0.7700735992855496
18,0.5447176742938257,0.7697807550430298
