epoch,train_loss,val_loss
1,1.000733119826163,1.017636815706889
2,0.9875500605952355,1.0034002661705017
3,0.9496587226467748,0.9893644120958116
4,0.9193536043167114,0.9810198346773783
5,0.8924799657637074,0.9715449545118544
6,0.8587027999662584,0.9647523893250359
7,0.8381025848850128,0.9598407083087497
8,0.8180700175223812,0.9566043615341187
9,0.7988800291092165,0.9538250764211019
10,0.7837346811448375,0.9517312579684787
11,0.7641954710406642,0.948171509636773
12,0.7496167382886333,0.9472903675503201
13,0.7404451370239258,0.9456684986750284
14,0.7267526695805211,0.9428721401426527
15,0.7124315307986352,0.9435419374042087
16,0.702386777247152,0.9403239289919535
17,0.696282067606526,0.9410834908485413
18,0.6931216216856434,0.9415711495611403
19,0.6812808225231786,0.9377930164337158
20,0.6706267518381919,0.9390541977352567
21,0.6659746862226917,0.9373755587471856
22,0.6581691195887904,0.9370857874552408
23,0.6503940532284398,0.9371286829312643
24,0.6446858086893635,0.9379659361309476
25,0.6421963457138308,0.9356216523382399
26,0.6345254528907037,0.9368793103430006
27,0.634744490346601,0.9359078937106662
28,0.6368838375614535,0.9381555517514547
29,0.6338219931048732,0.9377796318795946
30,0.6225468439440573,0.9381168021096123
31,0.6120611198486821,0.9375307626194425
32,0.6092467115771386,0.9387888444794549
33,0.6033198468146785,0.9372331963645087
