Date,SPY_ret,SPY_vol_21d,VIX_level,TLT_ret,GLD_ret,UUP_ret,curve_slope_10y2y,corr_60d_SPY_TLT,hmm_state,hmm_regime
2015-03-31,-0.008739503396893111,0.14260025041252253,15.29,0.002146365768616043,-0.000791173626373598,0.0015466502544823069,1.38,-0.3472651729675079,3,recovery
2015-04-01,-0.003536648127498654,0.14245886927010923,15.11,0.013134982593605127,0.01706839637274693,0.0003861925532222532,1.32,-0.3193140603011139,3,recovery
2015-04-02,0.0035978010105759406,0.1427988632907733,14.67,-0.010595322865084356,-0.002768157487338274,-0.007719113739188099,1.3699999999999999,-0.3002497948963557,3,recovery
2015-04-06,0.006733252786137234,0.14496917304814583,14.74,-0.005584211808360884,0.01223111565085988,-0.007779115416323812,1.41,-0.30540412423027685,3,recovery
2015-04-07,-0.0026466205822086586,0.13650505603460644,14.78,0.008384593162555909,-0.004970442969055799,0.011368036552649619,1.3699999999999999,-0.2779022066163434,3,recovery
2015-04-08,0.003377275694547377,0.1362511213099213,13.98,0.00030518193674833327,-0.005512014421565681,0.0015503402652388143,1.38,-0.2644019296940607,3,recovery
2015-04-09,0.0044234980465807094,0.12310978373437081,13.09,-0.012964395788643501,-0.006928232381326338,0.010448956924868913,1.41,-0.264158806518116,3,recovery
2015-04-10,0.0054567592889041006,0.12329211597907128,12.58,0.0014680211498296902,0.011336906101629074,0.0022980146024902393,1.3900000000000001,-0.2620778863442457,3,recovery
2015-04-13,-0.004522549966208378,0.1179054665964017,13.94,0.0013885339711683375,-0.007157040552237204,0.0015284209917725278,1.4,-0.2548042112911522,3,recovery
2015-04-14,0.0019127752478016458,0.11530162231133168,13.67,0.0070878112422811945,-0.006079529321517452,-0.00763039675971422,1.3699999999999999,-0.2269740857513991,3,recovery
2015-04-15,0.004487143533285387,0.10720340547845641,12.84,-0.0008413599810379591,0.008650803763530224,-0.00461388224728565,1.4,-0.20162279945206582,3,recovery
2015-04-16,-0.00028522611503500883,0.10645940887501727,12.6,-0.004976344113904463,-0.0034653123104911865,-0.007724800759589812,1.4,-0.2073100815028615,3,recovery
2015-04-17,-0.01150353728259812,0.10635750789755563,13.89,0.011464653614541742,0.004955220420370443,-0.0023357702462037944,1.36,-0.22349648894037522,3,recovery
