state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.007138839049926407,0.008975715960900152,0.007208593748857716,0.00785540135141059
7,0.007541139263962898,0.010885708521470512,0.007017063090480204,0.007979081438071208
8,0.006818179208264479,0.0061474761695758835,0.005317403438509785,0.0052264961965241994
9,0.007265129032155889,0.01026176798483886,0.005021472723364723,0.007926620996971823
10,0.0015211996152835723,0.0,0.009109359039986607,0.0016385384871680528
11,0.007927030841859141,0.007660449513459494,0.005661662844920524,0.004217571260466484
12,0.010419577545187592,0.015187658533521775,0.007647777470353107,0.008489746483641425
13,0.00545127108399283,0.007089385720040269,0.0037563265844297302,0.005433756120772338
14,0.005942502691467559,0.004247457434465194,0.005409655352788594,0.0073828585682854915
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
