epoch,train_loss,val_loss
1,0.9781969127983883,0.8541657701134682
2,0.7653259984378157,0.7707992270588875
3,0.6846172357427662,0.741675391793251
4,0.6430760210958021,0.7246492505073547
5,0.6182450508249218,0.7170779183506966
6,0.5994496859353164,0.7263674139976501
7,0.5825489430591978,0.7211823984980583
8,0.5714773782368364,0.7276076078414917
9,0.5595500469207764,0.7269662171602249
10,0.5530141407045824,0.7329925298690796
11,0.5414659894745926,0.7413023933768272
12,0.5354701650553736,0.7423274517059326
13,0.5291228993185635,0.7477080672979355
