cluster,n_windows,dominant_hmm_regime,avg_SPY_ret,avg_VIX_level,avg_curve_slope_10y2y
0,1160,recovery,0.00062413390526824,18.071767264655172,0.4008103448275862
1,1240,risk-on,0.00044862916318114907,16.571282262096776,0.6877016129032258
2,256,transition,-0.00020250913799420896,24.2517579140625,-0.308515625
3,119,transition,0.002714173580162166,28.705966420168068,0.4354621848739496
