epoch,train_loss,val_loss
1,0.9233020794007086,0.8946638628840446
2,0.7520128161676468,0.7927578464150429
3,0.680682756247059,0.7634660825133324
4,0.6774471940532807,0.7582571655511856
5,0.6503409079967006,0.7424320578575134
6,0.648276032940034,0.7453749030828476
7,0.6637009795634977,0.735047236084938
8,0.6092223053978335,0.7229306399822235
9,0.5905282199382782,0.7274364940822124
10,0.5891062905711513,0.7189123034477234
11,0.570171877261131,0.7160970568656921
12,0.5784345230748577,0.7215587310492992
13,0.5717292293425529,0.7185497023165226
14,0.5492303169542744,0.7302157431840897
15,0.5394962747250834,0.7165307514369488
16,0.5360042981563076,0.721340473741293
17,0.5216777968791223,0.7147461138665676
18,0.5187953124123235,0.7153862863779068
19,0.5203061324934806,0.721650093793869
20,0.5133311460095067,0.740033470094204
21,0.5061904730335358,0.7138195261359215
22,0.4961837645499937,0.716447439044714
23,0.4940484579532377,0.7133705727756023
24,0.49008473850065665,0.722529448568821
25,0.48054070241989627,0.7206502482295036
26,0.4812759112927221,0.713858962059021
27,0.47737326737373104,0.715825442224741
28,0.4794466726241573,0.7048623822629452
29,0.47233774104425985,0.718545489013195
30,0.4629881574261573,0.7153907418251038
31,0.4713979161554767,0.7127013728022575
32,0.46898552775382996,0.7202174663543701
33,0.4632393727379461,0.7190866619348526
34,0.45738215600290605,0.7259605526924133
35,0.45338025977534635,0.7204737290740013
36,0.45427296046287785,0.7216621413826942
