epoch,train_loss,val_loss
1,0.996013670132078,0.8721263408660889
2,0.7753580130379776,0.7906116992235184
3,0.6945457273516161,0.7559216693043709
4,0.6523673739926569,0.7354242280125618
5,0.6243052790904867,0.7315896898508072
6,0.6055952947715233,0.729277066886425
7,0.5896640008893507,0.7387468665838242
8,0.5753039717674255,0.7344406023621559
9,0.564467376676099,0.7438824847340584
10,0.5544090414869374,0.7572405785322189
11,0.5476377606391907,0.7545372396707535
12,0.541031827186716,0.7615128755569458
13,0.5337881671971288,0.7588457837700844
14,0.5271800489261232,0.776223935186863
