cluster,n_windows,dominant_hmm_regime,avg_SPY_ret,avg_VIX_level,avg_curve_slope_10y2y
0,443,recovery,0.0007278295404480892,17.413679446952596,-0.20862302483069975
1,1175,recovery,0.0005787777305994066,16.511259565106382,0.6861702127659575
2,911,recovery,0.000568892381675023,19.020329356750825,0.6489352360043907
3,246,transition,0.00012474199020248507,27.209715585365853,-0.05886178861788619
