cluster,n_windows,avg_SPY_ret,avg_VIX_level,avg_credit_spread_proxy,avg_curve_slope_10y2y,hmm_regime_cn,hmm_regime_en,window_share
0,885,0.000743529022055442,17.723751420489812,-0.4128503900242723,0.28385310734463276,过渡,transition,0.3257269046742731
1,255,-0.0006236158314719116,24.162745180317,-0.415739919288879,-0.3198823529411765,压力,stress,0.09385351490614649
2,74,0.0037693374379106316,37.70445957699337,-0.5810351868767365,0.49743243243243246,压力,stress,0.027235921972764077
3,1503,0.0005055999624891317,17.108809049813175,-0.4648240264963691,0.6612375249500998,风险偏好,risk-on,0.5531836584468164
