Date,state_index,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,0,cautious,-0.003000656799533595,0.001,1.0,99699.93432004664
2015-04-01,1,cautious,0.009313517511016533,0.0,0.0,100628.4914041836
2015-04-02,2,cautious,-0.003989236089062443,0.0,0.0,100227.06059468612
2015-04-06,3,cautious,0.00345562580775478,0.0,0.0,100573.4078119125
2015-04-07,4,cautious,0.001068718199643026,0.0,0.0,100680.89244324122
2015-04-08,5,cautious,-0.0005183488434061578,0.0,0.0,100628.70461909015
2015-04-09,6,cautious,-0.00593717861588109,0.0,0.0,100031.25402588186
2015-04-10,7,cautious,0.0056253080770918285,0.0,0.0,100593.96064711528
2015-04-13,8,cautious,-0.0029484635670663393,0.0,0.0,100297.36301908034
2015-04-14,9,cautious,0.0015850982747977363,0.0,0.0,100456.34419616866
2015-04-15,10,cautious,0.0036048401966294994,0.0,0.0,100818.47326373348
2015-04-16,11,cautious,-0.003115699173219644,0.0,0.0,100504.3532299404
2015-04-17,12,cautious,0.002621366387148394,0.0,0.0,100767.81196325946
2015-04-20,13,cautious,-0.003072202163778193,0.0,0.0,100458.23287330673
2015-04-21,14,rebound,-0.0012036267808624098,0.0004,0.4,100337.31865386231
2015-04-22,15,rebound,-0.004809795866954336,0.0,0.0,99854.71663329967
2015-04-23,16,rebound,0.00400851067657817,0.0,0.0,100254.98533103094
2015-04-24,17,rebound,0.00022301370530897178,0.0,0.0,100277.3435667853
2015-04-27,18,rebound,0.001954597362784949,0.0,0.0,100473.34539806802
2015-04-28,19,rebound,-0.0008136131841248392,0.0,0.0,100391.59895959901
2015-04-29,20,rebound,-0.007143752062537989,0.0,0.0,99674.42626746988
2015-04-30,21,rebound,-0.008017452120838353,0.0,0.0,98875.29132719841
2015-05-01,22,rebound,0.0006949734285645494,0.0,0.0,98944.0070274124
2015-05-04,23,rebound,0.0003971163943755299,0.0,0.0,98983.29931472818
2015-05-05,24,rebound,-0.005580210379093409,0.0,0.0,98430.95168053523
2015-05-06,25,rebound,-0.007299549900259816,0.0,0.0,97712.4500370131
2015-05-07,26,rebound,0.004381875652494282,0.0,0.0,98140.61384277584
2015-05-08,27,rebound,0.008363314344851115,0.0,0.0,98961.39464633963
2015-05-11,28,rebound,-0.010455818546172502,0.0,0.0,97926.67226084133
2015-05-12,29,rebound,0.0009911294370661295,0.0,0.0,98023.73026839299
2015-05-13,30,rebound,0.0012728433987720504,0.0,0.0,98148.49912638812
2015-05-14,31,rebound,0.007102455985896983,0.0,0.0,98845.59452151514
2015-05-15,32,rebound,0.0071544771861487225,0.0,0.0,99552.78307247063
2015-05-18,33,rebound,-0.003497204482159599,0.0,0.0,99204.62663329812
2015-05-19,34,rebound,-0.005597975560861191,0.0,0.0,98649.28155788056
2015-05-20,35,rebound,0.0004821078225031639,0.0,0.0,98696.84114820394
2015-05-21,36,rebound,0.004980049165202316,0.0,0.0,99188.35626957216
2015-05-22,37,rebound,-0.0012254159895238592,0.0,0.0,99066.80927182484
2015-05-26,38,rebound,-0.0031666066015913043,0.0,0.0,98753.1036595861
2015-05-27,39,rebound,0.005396789096184817,0.0,0.0,99286.05333263056
2015-05-28,40,rebound,-0.0010690918306650477,0.0,0.0,99179.90742411367
2015-05-29,41,rebound,-0.002304467781153796,0.0,0.0,98951.35052291698
2015-06-01,42,rebound,-0.002381347529825006,0.0,0.0,98715.71296877638
2015-06-02,43,rebound,-0.003874841757658098,0.0,0.0,98333.20520202798
2015-06-03,44,rebound,-0.004930843417284458,0.0,0.0,97848.33956445707
2015-06-04,45,rebound,-0.001725429286090197,0.0,0.0,97679.50917377727
2015-06-05,46,rebound,-0.00557410616016355,0.0,0.0,97135.03321996996
2015-06-08,47,rebound,-0.002818209489954471,0.0,0.0,96861.28634754241
2015-06-09,48,rebound,-0.002002943034285731,0.0,0.0,96667.27870876064
2015-06-10,49,cautious,0.002249826906302643,0.0004,0.4,96884.76335335868
2015-06-11,50,cautious,0.008010045983136505,0.0,0.0,97660.81476288437
2015-06-12,51,cautious,-0.0023757957486577716,0.0,0.0,97428.79261436027
2015-06-15,52,cautious,0.0006834334394869802,0.0,0.0,97495.37870920176
2015-06-16,53,cautious,0.0037027472956681633,0.0,0.0,97856.37945905738
