epoch,train_loss,val_loss
1,0.9790591251465582,0.9796941801905632
2,0.9709945417219593,0.9667331501841545
3,0.9283576492340334,0.9513892903923988
4,0.9000479675108387,0.9436713308095932
5,0.8674929795726654,0.938714824616909
6,0.8603534506213281,0.9310329854488373
7,0.8524684752187421,0.9278518930077553
8,0.807353586919846,0.9247330576181412
9,0.7965682860343687,0.9205090403556824
10,0.7742532107137865,0.9180782809853554
11,0.7561657294150321,0.9161505028605461
12,0.7450687000828404,0.9143773689866066
13,0.7392075138707315,0.9132851287722588
14,0.7176617230138471,0.911697655916214
15,0.7164062223126811,0.9112337306141853
16,0.7075551152229309,0.9094875603914261
17,0.6941948148512072,0.9078845679759979
18,0.6998822496783349,0.9066989868879318
19,0.6913849538372409,0.9068094193935394
20,0.6758136057084606,0.9065026268362999
21,0.6677852542169632,0.9037740677595139
22,0.6630612477179496,0.905412569642067
23,0.6546889255123753,0.9033914655447006
24,0.6496524099380739,0.9032267928123474
25,0.6387611752556216,0.9018042087554932
26,0.6459212303161621,0.9029210284352303
27,0.6369493007659912,0.9032788276672363
28,0.6340662029481703,0.9011138677597046
29,0.6210759897385875,0.9019690752029419
30,0.6153565087626057,0.9025913700461388
31,0.6164349336777964,0.903987355530262
32,0.6172726731146535,0.9031059741973877
33,0.614353935564718,0.9043803215026855
34,0.605960734428898,0.9034661501646042
35,0.5988825559616089,0.9068773090839386
36,0.5973386822208282,0.9036644771695137
