state_id,defensive,cautious,rebound,aggressive
0,0.0,0.0,0.0,0.0
1,-0.005864822059115243,-0.006034955765248134,-0.006661121967208181,9.258756049321227e-05
2,-0.006682578423225701,-0.006851884347619222,-0.007021745504552109,-0.0021648620454720463
3,-0.007659984634682623,-0.005385938816799954,-0.006857239032927957,-0.005770141856106389
4,-0.007843466028704525,-0.006385049444492418,-0.005912756899956391,0.0029863344271098408
5,0.0,0.0,0.0,0.0
6,0.011112653259578904,0.002313910709883119,-0.0004686223559177328,-0.000591610706910648
7,0.0034905390237955796,0.000350205902392351,0.00033291008883843494,-0.0015401556686582664
8,0.004438683394446226,-1.9161288319138707e-05,-0.0026475765104325153,0.001087011008490511
9,-0.0018118168164944761,0.0008259104645764694,0.0035986951211822676,0.0011762626936766267
10,0.00136947609039002,0.0036754543149304384,0.0014945406298945952,0.0013055267007928003
11,-0.010732184025802356,-0.010770613382326096,-0.008617294509282974,-0.012333719104204255
12,-0.007747170336610858,-0.011038081239760062,-0.010165960649365017,-0.01217133763978687
13,-0.010515162856345331,-0.011178842580142921,-0.010431387320409291,-0.007588181718531822
14,-0.0103171798914815,-0.0022958177247200257,-0.011340100288974328,-0.010556349702780313
15,0.0,0.0,0.0,0.0
16,4.355662610471434e-05,-0.0020684019793872142,-0.000982383916598625,-0.0009404298862512939
17,-0.0016034860941944503,-0.0029473859826955706,0.001215258098548252,-0.0025572470726083207
18,-0.0018906826693893962,-0.0019709907364581915,0.00014956890827714478,-0.0012150378351057489
19,-0.002484669847620873,-0.0022609070072096794,-0.0020411709570991882,0.0012814337279222323
