epoch,train_loss,val_loss
1,0.9785326945370642,0.8467396795749664
2,0.768953615221484,0.7555015459656715
3,0.6871489676935919,0.727248951792717
4,0.6494548896263386,0.7143474742770195
5,0.6248896779685185,0.7139841616153717
6,0.6079608983006971,0.7107921540737152
7,0.5958230536559532,0.7110439166426659
8,0.5809571537478216,0.7226084545254707
9,0.5734301127236465,0.7151521742343903
10,0.5612523781842199,0.71989756077528
11,0.5558432998328373,0.724943995475769
12,0.5484738719874415,0.7354034334421158
13,0.5418497693949732,0.7369524985551834
14,0.5386536491328272,0.7413987293839455
