Date,GLD,HYG,LQD,SPY,TLT,UUP,VIX
2015-01-02,114.08000183105469,49.30318069458008,,170.1249542236328,93.71204376220703,20.21669578552246,17.790000915527344
2015-01-05,115.80000305175781,48.846458435058594,,167.05264282226562,95.18412017822266,20.258464813232422,19.920000076293945
2015-01-06,117.12000274658203,48.65936279296875,,165.47915649414062,96.89911651611328,20.300233840942383,21.1200008392334
2015-01-07,116.43000030517578,48.961971282958984,,167.54124450683594,96.70773315429688,20.37541961669922,19.309999465942383
2015-01-08,115.94000244140625,49.3306884765625,,170.51419067382812,95.42704772949219,20.458959579467773,17.010000228881836
2015-01-09,117.26000213623047,49.57829284667969,,169.14776611328125,96.47220611572266,20.367063522338867,17.549999237060547
2015-01-12,118.55999755859375,49.51776885986328,,167.82276916503906,97.02424621582031,20.367063522338867,19.600000381469727
2015-01-13,118.16000366210938,49.51776885986328,,167.35073852539062,97.02424621582031,20.42554473876953,20.559999465942383
2015-01-14,117.97000122070312,49.402198791503906,,166.3404083251953,97.76031494140625,20.383773803710938,21.479999542236328
2015-01-15,120.94000244140625,49.099571228027344,,164.8166046142578,99.29859161376953,20.450607299804688,22.389999389648438
2015-01-16,122.5199966430664,49.28664779663086,,166.97808837890625,98.0325927734375,20.54250144958496,20.950000762939453
2015-01-20,124.19999694824219,49.198638916015625,,167.3341522216797,99.3354263305664,20.626041412353516,19.889999389648438
2015-01-21,124.2300033569336,49.46273422241211,,168.17886352539062,98.18716430664062,20.567564010620117,18.850000381469727
2015-01-22,125.2300033569336,49.52875518798828,,170.67990112304688,97.8338851928711,20.87666130065918,16.399999618530273
2015-01-23,124.2300033569336,49.52875518798828,,169.7440643310547,99.1955337524414,21.060449600219727,16.65999984741211
2015-01-26,122.98999786376953,49.75434875488281,,170.14157104492188,98.89376068115234,21.02703285217285,15.520000457763672
2015-01-27,124.4000015258789,49.71588897705078,,167.89732360839844,99.04833221435547,20.8265380859375,17.219999313354492
2015-01-28,123.41999816894531,49.61132049560547,,165.74411010742188,100.66761779785156,20.951845169067383,20.440000534057617
2015-01-29,120.76000213623047,49.78741455078125,,167.27622985839844,100.00518798828125,20.968555450439453,18.760000228881836
2015-01-30,123.44999694824219,49.649837493896484,,165.17269897460938,101.77901458740234,20.993616104125977,20.969999313354492
2015-02-02,122.41999816894531,49.84040451049805,,167.21826171875,101.39479064941406,20.951845169067383,19.43000030517578
2015-02-03,121.05000305175781,50.12220001220703,,169.63636779785156,99.24858856201172,20.70958137512207,17.329999923706055
2015-02-04,121.58000183105469,49.912254333496094,,168.9904327392578,99.41817474365234,20.83489418029785,18.329999923706055
2015-02-05,121.79000091552734,50.205074310302734,,170.69639587402344,98.32669830322266,20.684518814086914,16.850000381469727
2015-02-06,118.63999938964844,50.24374008178711,,170.22433471679688,96.58612060546875,20.935138702392578,17.290000915527344
2015-02-09,119.16999816894531,50.12220001220703,,169.46250915527344,96.43123626708984,20.918432235717773,18.549999237060547
2015-02-10,118.47000122070312,50.29347229003906,,171.26783752441406,95.66422271728516,20.943490982055664,17.229999542236328
2015-02-11,117.06999969482422,50.276893615722656,,171.36721801757812,95.84120178222656,21.0186767578125,16.959999084472656
2015-02-12,117.33999633789062,50.2713508605957,,173.01522827148438,95.52407836914062,20.81818389892578,15.34000015258789
2015-02-13,117.9800033569336,50.34321212768555,,173.7274169921875,94.54317474365234,20.809829711914062,14.6899995803833
2015-02-17,116.01000213623047,50.31004333496094,,174.00070190429688,93.11975860595703,20.784767150878906,15.800000190734863
2015-02-18,116.33999633789062,50.48133087158203,,174.01727294921875,93.67293548583984,20.793119430541992,15.449999809265137
2015-02-19,115.94000244140625,50.36531066894531,,173.89309692382812,93.05340576171875,20.86830711364746,15.289999961853027
2015-02-20,115.27999877929688,50.503421783447266,,174.93653869628906,93.32625579833984,20.85159683227539,14.300000190734863
2015-02-23,115.43000030517578,50.5421142578125,,174.91163635253906,94.39566802978516,20.910078048706055,14.5600004196167
2015-02-24,115.26000213623047,50.591854095458984,,175.40853881835938,95.6347427368164,20.86830711364746,13.6899995803833
2015-02-25,115.69999694824219,50.7575798034668,,175.2594757080078,96.0477294921875,20.8265380859375,13.84000015258789
2015-02-26,116.06999969482422,50.746517181396484,,175.05247497558594,94.73493957519531,21.043739318847656,13.90999984741211
