epoch,train_loss,val_loss
1,1.0332004962296322,0.9082527607679367
2,0.7980525062001985,0.8163275197148323
3,0.7030240153444225,0.790241114795208
4,0.6546874190198964,0.7777669876813889
5,0.62160836006033,0.7793878465890884
6,0.6001581241344583,0.7897083386778831
7,0.5803660750389099,0.7953723892569542
8,0.5660572257535211,0.8078468069434166
9,0.5523332953453064,0.81653843075037
10,0.543784303911801,0.8213423863053322
11,0.5301562876536928,0.8326624557375908
12,0.5231580179313133,0.846570111811161
