strategy,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate
Regime-Conditioned,0.10522255613924214,0.09747152159575107,0.8743328794300582,1.1929547909869858,-0.2588229095815647,0.4065426677621156,0.559322033898305
Equal Weight,0.09191999447073274,0.09708770698692386,0.7407734377784737,1.0171393074391721,-0.2262604051449192,0.4062575350373753,0.5549945906959971
Vol Targeting,0.1169598284998552,0.15965372122448857,0.6073133012886076,0.7305007908151452,-0.2849596156210728,0.4104435228302084,0.5488640461593941
60/40,0.081466286384551,0.11271400464396773,0.545329629434301,0.7002428531457345,-0.27235297763020294,0.2991202339456879,0.5531914893617021
