overall_rank,experiment_name,source_family,validation_rank,test_rank,average_rank,validation_sharpe,test_sharpe
16,RL:snn_event_lif_sparse__q_learning,rl,29,2,15.5,1.0854778293106524,2.0675844486568424
32,CA:snn_event_lif_sparse,cluster_action,32,31,31.5,0.8772357340383367,1.3184900964176274
