overall_rank,experiment_name,source_family,raw_experiment_name,architecture,validation_rank,validation_sharpe,validation_annual_return,validation_max_drawdown,test_rank,test_sharpe,test_annual_return,test_max_drawdown,average_rank,rank_gap
1,RL:pca_kmeans_baseline__q_learning,rl,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,2,1.6351552518094854,0.1834702353159529,-0.0998316471016469,5,1.9216198149279105,0.2044096175511367,-0.078882499557225,3.5,3.0
2,CA:transformer_autoencoder,cluster_action,transformer_autoencoder,transformer_autoencoder,5,1.6091363625537396,0.1763083422584523,-0.0998316471016476,11,1.8728560235211296,0.2011018971292539,-0.0810130185441343,8.0,6.0
3,RL:kmeans_baseline__q_learning,rl,kmeans_baseline__q_learning,kmeans_baseline+q_learning,4,1.610731533538271,0.1819750261515307,-0.0998316471016479,15,1.811893801559732,0.1971107057576051,-0.0788824995572251,9.5,11.0
4,RL:conv_transformer__q_learning,rl,conv_transformer__q_learning,conv_transformer+q_learning,3,1.6334589696006483,0.1851713782661372,-0.0998316471016467,18,1.7996217832259238,0.1958242041571756,-0.0788824995572249,10.5,15.0
5,RL:transformer_autoencoder__q_learning,rl,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,1,1.672378727998678,0.1869904086079206,-0.099831647101648,21,1.723799764782441,0.1904366946341233,-0.0788824995572244,11.0,20.0
6,RL:encoder_only__q_learning,rl,encoder_only__q_learning,encoder_only+q_learning,14,1.48094585102208,0.1689802337810024,-0.099831647101648,9,1.900283093904639,0.2194728392052498,-0.0908934026404907,11.5,-5.0
7,CA:rnn_lstm_hybrid,cluster_action,rnn_lstm_hybrid,rnn_lstm_hybrid,22,1.377512404631114,0.1519166954968749,-0.1056460939101487,3,2.0370030528308014,0.218055747242043,-0.0810130185441343,12.5,-19.0
8,CA:kmeans_baseline,cluster_action,kmeans_baseline,kmeans_baseline,9,1.5232964742304285,0.1731577598317317,-0.0998316471016473,16,1.807195697662065,0.1965618860291911,-0.0788824995572246,12.5,7.0
9,RL:pathformer__q_learning,rl,pathformer__q_learning,pathformer+q_learning,25,1.3194167097682374,0.1449436960920078,-0.1013922645799543,1,2.1017231673716656,0.2194099053107161,-0.0810130185441345,13.0,-24.0
10,CA:encoder_only,cluster_action,encoder_only,encoder_only,16,1.4784052262914582,0.1632147127172012,-0.0998316471016478,10,1.881785123224819,0.1997498335529819,-0.0868208699377064,13.0,-6.0
11,RL:vae__q_learning,rl,vae__q_learning,vae+q_learning,12,1.505930860311068,0.1710304632772732,-0.0998316471016481,14,1.811893801559732,0.1971107057576051,-0.0788824995572251,13.0,2.0
12,CA:conv_transformer,cluster_action,conv_transformer,conv_transformer,7,1.5433130054319728,0.1722646584023781,-0.098861555699538,19,1.789187604361671,0.1947394667875699,-0.0788824995572246,13.0,12.0
13,RL:rnn_autoencoder__q_learning,rl,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,24,1.3445661793611268,0.14713828347592,-0.1013922645799545,4,1.9933680198254675,0.2101426840187616,-0.0810130185441344,14.0,-20.0
14,RL:encoder_only_market_tuples__q_learning,rl,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,15,1.48094585102208,0.1689802337810024,-0.099831647101648,13,1.821472595672806,0.1982122164845086,-0.078882499557225,14.0,-2.0
15,CA:encoder_only_market_tuples,cluster_action,encoder_only_market_tuples,encoder_only_market_tuples,13,1.494604411724611,0.170322153185366,-0.0998316471016473,17,1.807195697662065,0.1965618860291911,-0.0788824995572246,15.0,4.0
16,RL:snn_event_lif_sparse__q_learning,rl,snn_event_lif_sparse__q_learning,snn_event_lif+q_learning,29,1.0854778293106524,0.12281216999940914,-0.10139226457995476,2,2.0675844486568424,0.21759563703091,-0.08101301854413423,15.5,-27.0
17,RL:cls_token_transformer__q_learning,rl,cls_token_transformer__q_learning,encoder_only+q_learning,23,1.374753230035349,0.1503839682729746,-0.1013922645799544,8,1.9009131789569549,0.2066455143783134,-0.0810130185441345,15.5,-15.0
18,CA:mae_transformer,cluster_action,mae_transformer,mae_transformer,10,1.5168315544961086,0.1727317444571297,-0.0998316471016472,24,1.55994725762291,0.1720773327091089,-0.0788824995572248,17.0,14.0
19,RL:rnn_lstm_hybrid__q_learning,rl,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,28,1.12054550878963,0.1328296821596504,-0.1206105511846135,7,1.903047801539268,0.2192559764693069,-0.0881588497140409,17.5,-21.0
20,RL:hmm_baseline__q_learning,rl,hmm_baseline__q_learning,hmm_baseline+q_learning,6,1.560385170424996,0.1790650650344134,-0.0998316471016476,29,1.4093804800661265,0.1538649941188199,-0.0897982278573018,17.5,23.0
21,CA:rnn_autoencoder,cluster_action,rnn_autoencoder,rnn_autoencoder,31,1.007971628452477,0.1201082558594714,-0.1029370444968927,6,1.921152062874432,0.2015058924195747,-0.086271219133943,18.5,-25.0
22,CA:hmm_baseline,cluster_action,hmm_baseline,hmm_baseline,11,1.5120436631771863,0.1679043852255262,-0.0998316471016478,26,1.4922446938925495,0.1698191048694426,-0.0871457652900864,18.5,15.0
23,CA:pure_rnn,cluster_action,pure_rnn,pure_rnn,27,1.141942088888232,0.1308141645362657,-0.1047147886300833,12,1.8588204358235367,0.2101860611066226,-0.0881588497140415,19.5,-15.0
24,CA:lstm_autoencoder,cluster_action,lstm_autoencoder,lstm_autoencoder,20,1.3808379885116746,0.1553073028636469,-0.0908804366234452,20,1.7554533083176715,0.2065252333897302,-0.0953935235016862,20.0,0.0
25,RL:lstm_autoencoder__q_learning,rl,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,17,1.4745805694789444,0.1683357344893497,-0.099831647101648,23,1.6885865685498502,0.1815592321203611,-0.0788824995572248,20.0,6.0
26,RL:mae_transformer__q_learning,rl,mae_transformer__q_learning,mae_transformer+q_learning,8,1.535316148297445,0.1739768871174882,-0.0998316471016469,32,1.1835532643482238,0.1347161979039195,-0.0788824995572252,20.0,24.0
