cluster,n_windows,dominant_hmm_regime,avg_SPY_ret,avg_VIX_level,avg_curve_slope_10y2y
0,855,recovery,-0.002469683560948652,17.87853800116959,0.5387017543859649
1,544,recovery,-0.00027005058154887793,19.981672818014705,0.3030698529411765
2,959,recovery,0.0037427273527938167,17.322054266944733,0.5426485922836287
3,299,recovery,0.0005238236014437377,18.912307732441473,0.5395652173913043
